Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star K Mag,Star V Mag,Star Metallicity,Star Age [Gyr],Star RA,Star Dec,Planet Name,Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Radius [Re],Planet Albedo,Planet Mass [Me],Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Eccentricity,Transit Mid Time,Transit Mid Time Flag,"Known (Y=1,N=0)",Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Best Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS Flag,Tier,Number Observations,Time [s]
420472513,0.16,3077.0,0.191,6.365803669,11.702,17.42,,,7.9782922439999995,67.91623135,420472513 b,3.3113220830000003,459.54327889999996,3531335044.0,2.836977379,0.1,8.520022167,2.3,1430.813067,0.9086042120000001,1,88.04125208,0.000707211,2458486.0409999997,1,0,1.0,26.0,1.0,-99.0,2.0,-99.0,Transit,1.0,1.0,2.0,0.0,3.0,10.0,35770.326675000004
166646191,0.405,3671.0,0.377,2.5468622659999998,3.5010000000000003,,,,165.834471,35.972317,166646191 b,1.117236576,890.0493779999999,2332453983.0,1.126778294,0.3,1.504263542,2.3,3278.2294629999997,0.315054142,1,87.97031305,0.038888474,2458484.7180000003,1,0,1.0,13.0,1.0,19.0,1.0,32.0,Transit,1.0,1.0,1.0,0.0,3.0,5.0,40977.868287499994
WASP-43,0.6485,4460.0,0.6335,80.0,9.267000000000001,12.4,-0.01,0.4,154.90835259999997,-9.80633245,WASP-43 b,0.813476265,1440.5382789999999,2208502510.0,10.78677021,0.3,608.9363697000001,2.3,3865.3625899999997,0.5,1,82.465,0.0035,2455528.8680000002,0,1,3.0,1.0,39.0,1.0,-99.0,1.0,Eclipse,1.0,1.0,1.0,0.0,3.0,5.0,48317.032374999995
23272614,1.1710041420000001,6157.0,1.3032299999999999,392.0627311,9.877,11.289000000000001,,,167.2427406,-33.71838266,23272614 b,1.117202394,2325.372813,3322808877.0,21.35882799,0.3,995.9905898,2.3,4133.709022,0.869913844,1,76.27287915,0.014697257,2458485.195,1,0,3.0,1.0,44.0,1.0,-99.0,1.0,Eclipse,1.0,1.0,1.0,0.0,3.0,5.0,51671.362775
K2-31,0.91,5280.0,0.78,110.87,8.866,10.7875,0.08,,245.4407938,-23.54786584,K2-31 b,1.25785,1546.611734,3306214402.0,11.63171559,0.3,563.80643,2.3,1539.851745,0.9625,1,79.9,0.0,2457191.7090000003,0,1,7.0,1.0,-99.0,2.0,-99.0,3.0,Eclipse,1.0,2.0,3.0,0.0,2.0,2.0,7699.258725
WASP-19,0.924666667,5522.666667,0.998,250.0,10.481,12.445,0.06333333299999999,11.5,148.4168344,-45.65917885,WASP-19 b,0.788839663,2132.080421,2435298530.0,15.26388338,0.3,355.00100469999995,2.3,5355.052156000001,0.5,1,79.19333333,0.0037333329999999997,2455708.535,0,1,1.0,1.0,10.0,1.0,21.0,1.0,Eclipse,1.0,1.0,1.0,0.0,3.0,5.0,66938.15195000001
265619313,1.17808,6173.0,1.20135,127.3982111,8.44,9.745,,,94.83953829,0.300984183,265619313 b,2.2537467209999997,1769.769938,5315690003.0,19.637789399999996,0.3,798.1347475,2.3,5372.70755,0.8342028709999999,1,82.46542455,0.092926895,2458486.183,1,0,1.0,1.0,5.0,1.0,11.0,1.0,Eclipse,1.0,1.0,1.0,0.0,3.0,5.0,67158.844375
GJ 1214,0.15,3026.0,0.218,12.975,8.782,14.905,0.39,6.0,258.8290019,4.96390445,GJ 1214 b,1.58040469,624.4944289,2110768508.0,2.700543473,0.1,6.3603548420000005,2.3,2703.839004,0.5,1,88.17,0.27,2455320.536,0,1,1.0,4.0,1.0,30.0,2.0,-99.0,Transit,1.0,1.0,2.0,1.0,3.0,10.0,67595.9751
KELT-14,1.24,5720.0,1.52,266.0,9.424,11.0,0.32,5.11,108.30148500000001,-42.409744,KELT-14 b,1.7100566000000001,2005.213596,4498270124.0,19.12649082,0.3,408.0763563,2.3,5599.023765999999,0.8622,1,78.3,0.0,2456665.224,0,1,1.0,1.0,10.0,1.0,19.0,1.0,Eclipse,1.0,1.0,1.0,0.0,3.0,5.0,69987.797075
8292302,0.687,4032.0,0.637,99.51401,9.331,12.913,,,163.092048,41.48899052,8292302 b,2.798900087,856.745,5131076495.0,21.11289317,0.3,967.7171732999999,2.3,5949.716352,0.44569837100000004,1,87.79451552,0.027315541000000002,2458486.6459999997,1,0,1.0,1.0,6.0,1.0,13.0,1.0,Eclipse,1.0,1.0,1.0,0.0,3.0,5.0,74371.4544
