Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Transit Temperature [K],Eclipse Temperature [K],Planet Semi-major Axis [AU],Planet Semi-major Axis [m],Planet-Star Separation Transit [m],Planet-Star Separation Eclipse [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
55 Cnc,0.91,-0.02,0.02,5172.0,-18.0,18.0,0.94,-0.01,0.01,12.5855,-0.0123,0.0124,4.43,-0.02,0.02,Gaia DR2 704967037090946688,4.265,4.768,4.015,5.95084,5.72973,4.001,3.296,4.051,4.014,0,0.35,-0.1,0.1,[Fe/H],10.2,-2.5,2.5,G8 V,133.1468373,28.3298154,55 Cnc e,1.87189978206676,0.033626942192816,-0.033626942192816,0.167,0.003,-0.003,7.739121700580331,0.3686809516498228,-0.2987587021989943,0.02435,0.00116,-0.00094,0,1,6.0,0.7365474,-1.4e-06,1.3e-06,1880.0572218795307,1929.052342600043,1835.1188372495608,0.015478815313765,2314082889.407879,2198633781.194034,2429475555.965172,0.3,2.3,5218.029555678111,0.39,1,83.59,-0.44,0.47,0.05,-0.03,0.03,0,86.0,-33.4,30.7,7063.209600000177,0.0006,-0.0004,0,7063.5778737001765,5765.887599952577,1,0.0375,0.000494,-0.000494,1,2004,0,0,0,6.0,9.0,15.0,17.0,24.0,28.0,Transit,6.0,15.0,24.0,2
AU Mic,0.5,-0.03,0.03,3588.0,-87.0,87.0,0.7,-0.02,0.02,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic b,4.068860005330741,0.1681347109640802,-0.1681347109640802,0.363,0.015,-0.015,11.69926364674998,4.999440835734235,-4.999440835734235,0.03681,0.01573,-0.01573,0,1,5.8,8.4629991,,,586.86773021873,650.5440748128938,538.9819181870105,0.0645549652577241,9650967306.029764,7856293982.501051,11445184191.166113,0.1,2.3,10103.147845676216,0.18,1,89.5,-0.3,0.3,0.186,-0.035,0.036,0,88.528,-0.218,0.218,8330.390459999908,,,0,8334.621959549908,14718.439541837954,1,0.287229,0.021705,-0.021705,2,2020,0,0,0,1.0,89.0,1.0,98.0,2.0,172.0,Transit,1.0,1.0,2.0,3
AU Mic,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic c,3.2393954312412787,0.1569257302331415,-0.1569257302331415,0.289,0.014,-0.014,22.200314200638037,6.699822811015745,-6.699822811015745,0.06985,0.02108,-0.02108,0,1,8.5,18.858991,,,479.59326806283633,484.5103783999846,475.5742833532229,0.1101351017703512,16465197714.667517,16137149109.37902,16749284372.595549,0.1,2.3,16051.12795094161,0.3,1,89.39,-0.38,0.4,0.041,-0.026,0.047,0,153.0,-94.0,124.0,8342.224299999885,,,0,8351.653795499886,16660.000148042396,1,,,,2,2021,0,0,0,11.0,1087.0,18.0,1135.0,25.0,2017.0,Transit,11.0,18.0,25.0,2
CoRoT-11,1.27,-0.05,0.05,6440.0,-120.0,120.0,1.37,-0.03,0.03,655.037,-23.209,24.947,4.22,-0.23,0.23,Gaia DR2 4285511294172309504,11.416,11.589,11.248,12.897,12.841,11.173,11.265,11.47,9.198,0,-0.03,-0.08,0.08,[Fe/H],2.0,-1.0,1.0,F6 V,280.6872998,5.9376586,CoRoT-11 b,16.028842445242315,0.3362694219281604,-0.3362694219281604,1.43,0.03,-0.03,832.710425278048,187.5187598908581,-197.0536120886984,2.62,0.59,-0.62,0,1,334.0,2.99433,-1.1e-05,1.1e-05,1675.0768400080078,1675.0768400080078,1675.0768400080078,0.0440613502436187,6587171861.421001,6587171861.421001,6587171861.421001,0.3,2.3,8973.287257039838,0.818,1,83.17,-0.15,0.15,0.0,,,0,,,,4597.679000000004,0.0003,-0.0003,0,4599.176165000004,8973.287257039838,1,1.1449,0.010725,-0.010675,1,2010,0,0,0,34.0,2.0,503.0,12.0,1000.0,23.0,Eclipse,2.0,12.0,23.0,2
CoRoT-1,0.95,-0.15,0.15,5950.0,-150.0,150.0,1.11,-0.05,0.05,787.909,-23.491,23.491,4.25,-0.3,0.3,Gaia DR2 3105507886130792448,12.218,12.462,12.149,13.623,13.457,12.098,12.136,12.29,9.091,0,-0.3,-0.25,0.25,[M/H],1.6,-0.5,0.5,G0 V,102.0798591,-3.1021394,CoRoT-1 b,16.701381289098634,0.8967184584750945,-0.8967184584750945,1.49,0.08,-0.08,390.92894011145,31.78284065946748,-31.78284065946748,1.23,0.1,-0.1,0,1,190.0,1.5089557,-6.4e-06,6.4e-06,1837.3340123008404,1837.3340123008404,1837.3340123008404,0.0253288603116789,3786664616.5959983,3786664616.5959983,3786664616.5959983,0.3,2.3,9274.2782514718,0.35,1,85.1,-0.5,0.5,0.0,,,0,,,,4159.453199999873,0.0001,-0.0001,0,4160.207677849872,9274.2782514718,1,1.92654,0.058737,-0.057855,1,2008,1,0,1,7.0,2.0,93.0,10.0,185.0,19.0,Eclipse,2.0,10.0,19.0,2
CoRoT-2,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.783,10.31,12.516,12.2489,10.064,10.098,10.189,9.035,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,CoRoT-2 b,16.432365751556105,0.4707771906994246,-0.4931951521613019,1.466,0.042,-0.044,1052.0120258283737,50.85254505514797,-50.85254505514797,3.31,0.16,-0.16,0,1,0.0,1.7429935,-1e-06,1e-06,1496.3109426988303,1507.101495092386,1486.166288485465,0.0279819328378182,4183298959.2538342,4124748551.983199,4241775395.135801,0.3,2.3,8232.82653659818,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102.0,-5.0,17.0,4237.535560000222,0.0002,-0.00021,0,4238.407056750222,8466.407247678804,1,2.75,0.012,-0.012,1,2008,0,0,0,4.0,1.0,43.0,1.0,86.0,1.0,Eclipse,1.0,1.0,1.0,3
CoRoT-19,1.21,-0.05,0.05,6090.0,-70.0,70.0,1.65,-0.04,0.04,790.663,-25.071,26.737,4.07,-0.03,0.03,Gaia DR2 3120002649138831360,11.961,12.324,11.837,14.135,13.7831,11.763,11.787,12.08,9.147,0,-0.02,-0.1,0.1,[Fe/H],5.0,-1.0,1.0,F9 V,97.0335983,-0.1707293,CoRoT-19 b,14.459585142910898,0.3362694219281604,-0.3362694219281604,1.29,0.03,-0.03,367.0918096168494,22.883645274816583,-22.883645274816583,1.155,0.072,-0.072,0,1,131.5,3.89713,-2e-05,2e-05,1605.1014818743515,1605.1014818743515,1605.1014818743515,0.0516830941567414,7726622576.432848,7726622576.432848,7726622576.432848,0.3,2.3,16852.010450592494,0.24,1,88.0,-0.7,0.7,0.047,-0.045,0.045,0,,,,5257.441019999795,0.0006,-0.0006,0,5259.389584999794,16852.010450592494,1,0.631275,0.027997,-0.027997,1,2011,0,0,0,17.0,4.0,240.0,23.0,476.0,45.0,Eclipse,4.0,23.0,45.0,1
CoRoT-21,1.29,-0.09,0.09,6200.0,-100.0,100.0,1.95,-0.21,0.21,1398.8341969,-286.4501849,286.4501849,3.7,-0.1,0.1,Gaia DR2 3107471240236703104,13.98,14.34,13.813,16.058,15.8558,13.674,13.69,12.495,9.006,0,0.0,-0.1,0.1,[Fe/H],4.1,-0.5,0.1,F8 IV,101.0526207,-0.2991544,CoRoT-21 b,14.571674950220284,1.5692573023314156,-1.5692573023314156,1.3,0.14,-0.14,705.5790626401781,177.9839076930179,-177.9839076930179,2.22,0.56,-0.56,0,1,296.0,2.72474,-0.00014,0.00014,1980.2716865522304,1980.2716865522304,1980.2716865522304,0.0415913868660497,6217912336.474433,6217912336.474433,6217912336.474433,0.3,2.3,17160.67378746363,0.25,1,86.8,-2.1,2.1,0.0,,,0,,,,4399.028200000059,0.0009,-0.0009,0,4400.390570000059,17160.67378746363,1,,,,1,2012,1,0,1,203.0,9.0,3004.0,66.0,5982.0,130.0,Eclipse,9.0,66.0,130.0,1
CoRoT-26,1.09,-0.06,0.06,5590.0,-100.0,100.0,1.79,-0.09,0.18,1045.18,,,3.99,-0.08,0.05,Gaia DR2 4286437357841760000,13.358,13.813,13.261,15.861,15.4682,13.158,13.295,12.082,8.807,0,0.01,-0.13,0.13,[Fe/H],8.6,-0.9,1.8,G5,279.7504991,6.9697828,CoRoT-26 b,14.123315720982738,1.4571674950220286,-0.7846286511657078,1.26,0.13,-0.07,184.34047582491132,63.56568131893496,-34.96112472541423,0.58,0.2,-0.11,0,1,66.0,4.20474,-5e-05,5e-05,1522.450853505729,1522.450853505729,1522.450853505729,0.052507948513279,7849938302.735213,7849938302.735213,7849938302.735213,0.3,2.3,18829.40086543301,0.33,1,86.8,-1.0,2.2,0.0,,,0,,,,4573.629900000058,0.0008,-0.0008,0,4575.732270000058,18829.40086543301,1,,,,1,2013,1,0,1,13.0,10.0,180.0,66.0,358.0,131.0,Eclipse,10.0,66.0,131.0,1
CoRoT-3,1.37,-0.09,0.09,6740.0,-140.0,140.0,1.56,-0.09,0.09,768.771,-28.545,30.791,4.22,-0.07,0.07,Gaia DR2 4263427117767106816,11.71,11.936,11.618,13.448,13.2188,11.343,11.394,11.323,8.979,0,0.14,-0.04,0.04,[Fe/H],2.2,-0.6,0.6,F3 V,292.0552827,0.1218359,CoRoT-3 b,11.321070538248067,0.7846286511657078,-0.7846286511657078,1.01,0.07,-0.07,6814.241037389828,305.11527033088777,-308.29355439683457,21.44,0.96,-0.97,0,1,2173.0,4.2568,-5e-06,5e-06,1642.8457034435994,1642.8457034435994,1642.8457034435994,0.0571328392114467,8541359462.111293,8541359462.111293,8541359462.111293,0.3,2.3,13658.60083387312,0.55,1,85.9,-0.8,0.8,0.0,,,0,,,,4283.138300000224,0.0003,-0.0003,0,4285.266700000224,13658.60083387312,1,0.4398,0.0084,-0.0091,1,2008,0,0,0,21815.0,9.0,319855.0,62.0,635420.0,124.0,Eclipse,9.0,62.0,124.0,1
