Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mj],Msin(i) Error Lower [Mj],Msin(i) Error Upper [Mj],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Impact Parameter,Impact Parameter Error Lower,Impact Parameter Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Publication Year,Publication Month,No. Desired Parameters,Prime Source,Inferred Parameters,ExoClock Orbital Parameters,Uniform Stellar Parameters,Calculated Parameters,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,Assumed Parameters,ExoClock Priority,Transit Mid Time [days],ExoClock Ephemeris,Replaced Values,Transit,Transit Impact Parameter,Eclipse,Eclipse Impact Parameter,Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Eclipse Mid Time,Mass Flag,Planet Radius [Re],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Available Transits,Available Eclipses,Planet Semi-major Axis [m],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
K2-232,1.039,-0.065,0.071,5888,-77,71,1.233,-0.025,0.026,4.273,-0.035,0.035,0.051,-0.056,0.058,[Fe/H],7.1,-2.7,3.1,,4.16,-0.282,0.282,,,,130.72,-0.759,0.768,7.6214,-0.0443369,0.0443369,HD 286123,,TIC 68577662,Gaia DR2 3406687485600728192,10.521,9.850000381,8.48,,8.73900032,8.434000015,,,,,,9.31437,9.789,9.72626,8.38,8.419,8.391,8.518,73.7667927,18.654323,78.6094677,-0.0680592,0.0680592,62.0635,-0.0766353,0.0766353,-48.2449,-0.0507786,0.0507786,K2-232b,1.058,-0.022,0.023,0.08811,-0.00017,0.00031,0.387,-0.042,0.044,0.387,-0.042,0.044,35.4,-4.3,4.6,0.405,-0.044,0.046,11.16844233,6.60E-07,6.60E-07,0.0991,-0.0021,0.0022,17.28,-0.53,0.55,89.61,-0.29,0.26,0.108,-0.072,0.08,0.255,-0.036,0.034,170.9,-340,5.7,,,,,,,2457858.857,3.90E-05,3.90E-05,0.7764,-0.003,0.0054,5.03016,-0.00672,0.00792,,,,1,1,K2,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..127Y/abstract target=ref>Yu et al. 2018</a>,2018-09,0,Published Confirmed,0,0,FALSE,FALSE,2018,9,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2458160.404,TRUE,"Star Rotational Velocity [km/s], ",TRUE,0.105708791,TRUE,0.114593657,17906.1947,1466.791666,14972.61137,19393.84739,1591.608799,16210.62979,1001.569139,1056.492846,1014.70973,2457862.668,FALSE,11.85910161,,,,122.9995934,13.98444989,-13.34879308,232435.58,19209.83,16583.31,170.7610985,14.11269167,12.18309276,31,31,14825148986,1,3,5,1,4,8,Transit,1,3,5,0,0,0,2
Qatar-10,1.156,-0.068,0.068,6124,-46,46,1.254,-0.026,0.026,4.303,-0.027,0.027,0.016,-0.089,0.089,[Fe/H],3.2,-1.9,1.9,F7 V,5.9,-0.5,0.5,,,,559.068,-5.957,6.085,1.7599,-0.0191171,0.0191171,,,TIC 229791084,Gaia DR2 2262322556576778752,13.437,12.868,11.474,,11.75399971,11.38199997,,,,,,12.2856,,12.6978,11.375,11.413,11.348,9.486,284.4439052,69.5708373,6.5163075,-0.0378996,0.0378996,-5.57512,-0.0354327,0.0354327,-3.37347,-0.0439369,0.0439369,Qatar-10b,1.543,-0.04,0.04,0.1265,-0.001,0.001,,,,0.736,-0.09,0.09,114,-13,13,0.248,-0.036,0.036,1.64532652,5.00E-07,5.00E-07,0.0286,-0.0006,0.0006,4.9,-0.12,0.12,85.87,-0.96,0.96,0.379,-0.055,0.055,0,,,0,,,,,,,,,2458247.907,9.20E-05,9.20E-05,1.598849796,,,2.772,-0.0216,0.0216,,,,1,1,Qatar,2019,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>,2019-06,0,Published Confirmed,0,0,FALSE,FALSE,2019,6,11,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2459108.413,TRUE,,TRUE,0.352896497,TRUE,0.352896497,9985.766625,1277.17018,7431.426264,9985.766625,1277.17018,7431.426264,1956.240042,1956.240042,1956.240042,2458248.73,FALSE,17.29545727,,,,233.9217073,28.60455659,-28.60455659,3302001.65,208225.43,205707.37,2425.848182,152.9748723,151.1249546,757,757,4278499102,1,11,21,1,3,5,Eclipse,1,3,5,1,0,1,2
WASP-60,1.078,-0.035,0.035,5900,-100,100,1.14,-0.13,0.13,4.35,-0.09,0.09,-0.04,-0.09,0.09,[Fe/H],3.6,-2.1,4.3,G1 V,3.4,-0.8,0.8,,,,431.052,-7.303,7.554,2.29163,-0.039669,0.039669,,,TIC 288246496,Gaia DR2 2868528637464028160,13.115,12.18000031,10.656,,10.96399975,10.58500004,15.2691,12.7213,12.0479,11.8383,12.8267,11.5639,,12.0196,10.554,10.59,10.627,8.645001,356.6667136,31.1559115,30.8227338,-0.0502092,0.0502092,30.2622,-0.0507604,0.0507604,-5.85151,-0.0321304,0.0321304,WASP-60b,0.86,-0.12,0.12,0.077522727,-0.003869833,0.003869833,,,,0.514,-0.034,0.034,61.03971212,,,1.1,-0.4,0.4,4.3050061,1.50E-06,1.50E-06,0.0531,-0.0006,0.0006,10,-0.991,1.236,87.9,-1.6,1.6,0.37,-0.23,0.23,0,,,0,,,,,,,,,2455747.03,0.00035,0.00035,0.6,-0.06,0.06,3.336,-0.12,0.12,,,,1,1,SuperWASP,2012,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,2013-01,0,Published Confirmed,0,0,FALSE,FALSE,2013,1,11,TRUE,,FALSE,FALSE," Rp/Rs, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458020.074,TRUE,,TRUE,0.366437087,TRUE,0.366437087,12025.82695,991.9696174,10041.88771,12025.82695,991.9696174,10041.88771,1319.280107,1319.280107,1319.280107,2455749.182,FALSE,9.639723429,,,,163.363801,10.80616582,-10.80616582,684809.31,148421.69,186921.98,503.101935,109.039463,137.324082,90,89,7943646934,11,150,298,6,43,89,Eclipse,6,43,89,0,0,0,1
WASP-20,1.2,-0.041,0.041,5940,-100,100,1.392,-0.044,0.044,4.231,-0.02,0.02,-0.008,-0.06,0.06,[Fe/H],7,-1,2,F9,4.75,-0.51,0.51,,,,211.877,,,,,,,,TIC 211438925,Gaia DR2 2359978293136820864,11.203,10.77900028,9.417,,9.701000214,9.390000343,,,,,,10.248,,10.6503,9.328,9.364,9.324,8.336,5.1605621,-23.9357894,18.3534738,-1.9,1.9,-1.4,-1.9,1.9,-18.3,-1.9,1.9,WASP-20b,1.462,-0.059,0.059,0.107930349,-0.001065502,0.001065502,,,,0.311,-0.017,0.017,32.8,-1.7,1.7,0.132,-0.016,0.016,4.89964477,5.10E-07,5.10E-07,0.06,-0.00069,0.00069,9.28,-0.23,0.23,85.56,-0.22,0.22,0.718,-0.018,0.018,0,,,0,,,12.7,-4.2,4.2,,,,2455715.656,0.00013,0.00013,1.164,-0.023,0.023,3.4032,-0.0336,0.0336,,,,1,1,SuperWASP,2015,<a refstr=ANDERSON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..61A/abstract target=ref>Anderson et al. 2015</a>,2015-03,0,Published Confirmed,0,0,FALSE,FALSE,2015,3,10,TRUE,,FALSE,FALSE," Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",medium,2458087.084,TRUE,,TRUE,0.718411975,TRUE,0.718411975,12301.10783,2297.390422,7706.326986,12301.10783,2297.390422,7706.326986,1378.787886,1378.787886,1378.787886,2455718.105,FALSE,16.38752983,,,,98.84463445,5.403082912,-5.403082912,820264.56,57472.87,57514.25,602.6154745,42.22301257,42.2534128,73,75,8975872242,1,1,2,1,2,3,Transit,1,1,2,0,0,0,3
HATS-52,1.111,-0.054,0.054,6010,-150,150,1.046,-0.058,0.058,4.445,-0.034,0.034,,,,,1.2,-1.1,1.5,,4.59,-0.64,0.64,,,,555.134,-6.057,6.057,1.77262,-0.0195052,0.0195052,,,TIC 19684256,Gaia DR2 5631530950664938240,14.343,13.844,12.218,,12.52000046,12.10999966,,,,,,13.1758,,13.6269,11.979,12.007,12.135,8.874,140.0875894,-31.2692116,29.1925323,-0.0310487,0.0310487,-20.0138,-0.0295217,0.0295217,21.2521,-0.0323427,0.0323427,HATS-52b,1.382,-0.086,0.086,0.1352,-0.0028,0.0028,,,,2.24,-0.15,0.15,380,-23,23,1.06,-0.19,0.19,1.36665617,2.80E-07,2.80E-07,0.02498,-0.0004,0.0004,5.14,-0.22,0.22,84.7,-1.1,1.1,0.481,-0.084,0.071,0,,,0,,,,,,,,,2456929.03,0.0002,0.0002,1.843417066,,,2.0904,-0.0312,0.0312,,,,1,1,HATSouth,2017,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,2018-02,0,Published Confirmed,0,0,FALSE,FALSE,2018,2,11,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",medium,2458731.651,TRUE,,TRUE,0.474784819,TRUE,0.474784819,7624.704024,1149.353079,5325.997866,7624.704024,1149.353079,5325.997866,1874.467499,1874.467499,1874.467499,2456929.714,FALSE,15.49081137,,,,711.9356308,47.67426099,-47.67426099,2715165.04,362351.8,323346.72,1994.72286,266.2053349,237.549867,343,344,3736954810,14,204,406,1,5,9,Eclipse,1,5,9,1,0,1,2
TOI-1820,1.04,-0.13,0.13,5734,-50,50,1.51,-0.06,0.06,4.24,-0.05,0.05,0.14,-0.15,0.15,[Fe/H],11,-2,2,,4.5,-0.8,0.8,25,-6,6,248.504,-3.546,3.648,3.99626,-0.0577985,0.0577985,,,TIC 393831507,Gaia DR2 4009018273332089088,11.729,10.89999962,9.587,,9.914999962,9.508000374,14.5318,14.2622,11.0227,10.8906,13.2157,10.5268,,10.9653,9.465,9.509,9.441,8.643,187.6867207,27.4520016,60.8776166,-0.0815082,0.0815082,50.5428,-0.0814038,0.0814038,-33.9339,-0.0817392,0.0817392,TOI-1820b,1.14,-0.02,0.02,0.0777,-0.0009,0.0009,,,,2.3,-0.2,0.2,273,-4,4,2,-0.2,0.2,4.860674,5.00E-06,5.00E-06,0.061,-0.003,0.003,8.7,-0.3,0.3,84.4,-0.3,0.3,0.84,-0.013,0.015,0.043,-0.008,0.008,9,-9,4,,,,,,,2458903.064,0.0006,0.0006,0.601903259,,,2.92,-0.04,0.04,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>,2022-04,0,Published Confirmed,0,0,FALSE,FALSE,2022,4,13,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",low,2458903.064,TRUE,,TRUE,0.841739367,TRUE,0.853140283,10321.51246,2271.949071,5777.614322,10235.81339,2396.071668,5443.670056,1374.621285,1380.513732,1371.258479,2458905.626,FALSE,12.77823803,,,,731.0053352,63.56568132,-63.56568132,806546.36,68578.64,67444.71,592.5372632,50.38197638,49.54892349,76,73,9125470113,26,318,635,1,7,13,Eclipse,1,7,13,0,0,0,2
TOI-2202,0.841,-0.032,0.034,5169,-78,80,0.808,-0.022,0.024,4.548,-0.031,0.03,0.059,-0.043,0.043,[Fe/H],6.4,-3.9,4.4,,2.14,-0.25,0.28,22,-1,1,235.933,-1.041,1.051,4.20961,-0.0186422,0.0186422,,,TIC 358107516,Gaia DR2 4641274773980363520,13.902,12.98799992,10.873,,11.32600021,10.80000019,,,,,,12.173,,12.7606,10.735,10.782,10.733,9.155,51.2284214,-73.9575458,12.6103021,-0.0390844,0.0390844,-10.8091,-0.0397753,0.0397753,6.49485,-0.0371036,0.0371036,TOI-2202b,0.977,-0.016,0.016,0.1265,-0.0018,0.0017,,,,0.904,-0.1,0.087,90.7,-10,8.3,,,,11.9126075,-0.00011,0.00011,0.097621865,,,25.98,-0.34,0.34,89.29,-0.12,0.17,0.323,-0.08,0.055,0.022,-0.015,0.022,212,-94,59,26,-15,12,31,-11,13,2459577.974,-0.0038,0.0038,1.543964436,,,3.768,-0.03,0.032,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2021,<a refstr=RICE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..266R/abstract target=ref>Rice et al. 2023</a>,2023-12,0,Published Confirmed,0,0,TRUE,FALSE,2023,12,13,TRUE,,FALSE,FALSE," Planet Semi-major Axis, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,,,,TRUE,0.325571474,TRUE,0.318067783,13761.55047,1709.741314,10342.06785,13472.34683,1665.773197,10140.80044,717.0871844,713.0675319,721.4296607,2459583.788,FALSE,10.95117417,,,,287.3168796,27.65107137,-31.78284066,74165.23,17115.28,17795.7,54.48622,12.57390979,13.07378707,104,104,14604023088,8,107,216,15,107,217,Transit,8,107,216,0,0,0,1
TOI-4087,1.178,-0.042,0.039,6060,-67,74,1.112,-0.02,0.021,4.416,-0.016,0.015,0.237,-0.079,0.079,[Fe/H],0.8,-0.6,1.2,,,,,,,,301.676,-2.193,2.225,3.28605,-0.0240912,0.0240912,,,TIC 310002617,Gaia DR2 1725490333641502976,12.442,11.74100018,10.493,,10.75399971,10.43599987,,,,,,11.2961,,11.7064,10.39,10.432,10.381,8.971,217.9257785,83.3727061,19.6850913,-0.0386203,0.0386203,-16.7284,-0.0383352,0.0383352,10.3761,-0.0393518,0.0393518,TOI-4087b,1.164,-0.024,0.025,0.107568134,-0.000450877,0.000460173,,,,0.73,-0.14,0.14,90,-18,17,0.57,-0.12,0.12,3.1774835,9.40E-07,9.40E-07,0.04469,-0.00054,0.00048,8.63,-0.14,0.14,87.82,-0.33,0.37,0.328,-0.051,0.044,0,,,0,,,,,,,,,2459244.566,9.30E-05,9.30E-05,1.1565,-0.0097,0.0099,2.9842,-0.0115,0.0118,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2023,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2023-03,0,Published Confirmed,0,0,FALSE,FALSE,2023,3,11,TRUE,,FALSE,FALSE," Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2459244.566,TRUE,,TRUE,0.328276554,TRUE,0.328276554,10746.06946,1161.904381,8422.260698,10746.06946,1161.904381,8422.260698,1458.653802,1458.653802,1458.653802,2459246.155,FALSE,13.04725357,,,,232.0147368,44.49597692,-44.49597692,1032908.61,62102.09,55252.87,758.8365297,45.62391484,40.59206761,371,369,6685528842,2,19,37,1,4,8,Eclipse,1,4,8,0,0,0,2
WASP-2,0.895,-0.072,0.077,5180,-190,190,0.866,-0.03,0.031,4.514,-0.018,0.018,0.12,-0.19,0.21,[Fe/H],5.6,-5.6,8.4,,0.9,-0.5,0.5,,,,153.242,-1.605,1.64,6.49795,-0.0685615,0.0685615,,,TIC 374530847,Gaia DR2 1748596020745038208,12.692,11.97999954,9.752,,10.16600037,9.631999969,,,,,,10.9984,,11.5638,9.582,9.637,9.546,8.727,307.7255587,6.4293305,48.6429449,-0.0818487,0.0818487,5.93596,-0.101114,0.101114,-48.2794,-0.0815225,0.0815225,WASP-2b,1.081,-0.04,0.041,0.12831,-0.001,0.00098,0.927,-0.057,0.06,0.931,-0.058,0.06,157,-4.6,4.7,0.914,-0.071,0.074,2.15222216,1.30E-07,1.30E-07,0.03144,-0.00087,0.00088,7.81,-0.14,0.13,84.49,-0.18,0.17,0.749,-0.013,0.012,0,,,0,,,,,,,,,2458339.003,7.50E-05,7.50E-05,1.646,-0.025,0.025,1.78824,-0.02256,0.02376,,,,1,1,SuperWASP,2007,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,2019-11,0,Published Confirmed,1,0,FALSE,FALSE,2019,11,12,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2455229.043,TRUE,"Star Age [Gyr], Star Rotational Velocity [km/s], ",TRUE,0.749912142,TRUE,0.749912142,6431.525617,1523.084656,3385.356305,6431.525617,1523.084656,3385.356305,1310.657584,1310.657584,1310.657584,2458340.08,FALSE,12.11690817,,,,295.8982465,19.0697044,-18.43404758,674439.04,109170.92,117550.32,495.4833135,80.20349649,86.35950561,180,181,4703357055,2,18,36,1,2,4,Eclipse,1,2,4,0,0,0,2
K2-237,1.256,-0.062,0.055,6180,-140,160,1.236,-0.036,0.043,4.353,-0.029,0.022,0.337,-0.076,0.076,[Fe/H],1.09,-0.78,1.5,,11.76,-0.9,0.9,5.07,-0.02,0.02,314.995,-6.91,7.221,3.14858,-0.070618,0.070618,,,TIC 16288184,Gaia DR2 6032746832450438400,12.182,11.60000038,10.268,,10.50800037,10.21700001,,,,,,11.0657,11.468,11.4668,10.105,10.129,9.972,8.496,253.7688479,-28.7105836,10.2149825,-0.088777,0.088777,-8.56827,-0.0996597,0.0996597,-5.56153,-0.0548992,0.0548992,K2-237b,1.433,-0.049,0.056,0.119,-0.0023,0.0024,,,,1.366,-0.092,0.11,184,-11,14,0.577,-0.064,0.069,2.18053435,4.60E-07,4.60E-07,0.03552,-0.0006,0.00051,6.18,-0.19,0.16,88.37,-0.88,1,0.171,-0.11,0.091,0.03,-0.021,0.033,73,-58,57,,,,,,,2457706.616,0.00012,0.00012,1.416,-0.053,0.058,2.92728,-0.00816,0.00912,,,,1,1,K2,2018,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,2023-04,0,Published Confirmed,0,0,FALSE,FALSE,2023,4,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",low,2457942.114,TRUE,"Star Rotational Velocity [km/s], Star Rotation Period [days], ",TRUE,0.170733863,TRUE,0.180819631,10489.71311,1154.804789,8180.103528,11089.91148,1224.27035,8641.370776,1757.839583,1783.679571,1733.220759,2457707.719,FALSE,16.06246939,,,,434.1536034,34.96112473,-29.24021341,2555623.44,306217.45,315481.96,1877.514045,224.9656793,231.7719432,162,162,5313716367,2,17,34,1,1,2,Eclipse,1,1,2,0,0,0,3
