Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Planet Radius [Re],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mjup],Msin(i) Error Lower [Mjup],Msin(i) Error Upper [Mjup],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Mass Flag,Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],Planet Semi-major Axis [m],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit,Transit Impact Parameter,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse,Eclipse Impact Parameter,Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Eclipse Mid Time,Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Publication Year,Publication Month,No. Desired Parameters,Prime Source,Inferred Parameters,ExoClock Orbital Parameters,ExoClock Priority,ExoClock Ephemeris,Uniform Stellar Parameters,Calculated Parameters,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,Assumed Parameters,Replaced Values,Available Transits,Available Eclipses,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
55Cnc,0.905,-0.015,0.015,5234.0,-30.0,30.0,0.943,-0.01,0.01,4.45,-0.08,0.08,0.31,-0.04,0.04,[Fe/H],,,,,2.0,-0.47,0.43,38.8,-0.05,0.05,12.5855,-0.0123,0.0124,79.4274,-0.0776646,0.0776646,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,6.816,5.95084,4.265,,4.768,4.015,,,,,,5.2058,,5.72973,,,,,133.1468373,28.3298154,539.1329986,-0.1295797,0.1295797,-485.872,-0.133857,0.133857,-233.651,-0.109171,0.109171,55Cnce,0.18556517,-0.01516638,0.01427424,2.0799964148633605,0.0202,-0.0016,0.0015,0.02454142,-0.00176195,0.00176195,0.02457288,-0.00166756,0.00182487,7.809959295842153,0.5799955243424242,-0.5299979377010159,False,5.93,-0.42,0.42,,,,4.78,-1.2,1.31,0.73654625,1.5e-07,1.5e-07,1973.479122377547,1954.440455831796,1999.623517164561,3444592.48,102317.94,103737.66,2530.603945541952,75.1688869342607,76.21189827868679,0.01544,-9e-05,9e-05,2309791123.6080003,3.517,-0.04,0.041,87.3,-2.1,1.7,0.061,-0.043,0.065,202.0,-70.0,88.0,10.0,-20.0,17.0,23.0,-12.0,15.0,True,0.1689168354378198,2459370.807543,9.3e-05,9.3e-05,0.041,-0.0063,0.0063,1.596,-0.0456,0.0264,6008.936913146775,125.51974447476276,5757.897424197249,True,0.1613694625167879,0.0154,-0.0023,0.0023,5751.131317734072,120.32624308257616,5510.478831568919,2459371.149303213,1.0,1.0,McDonald Observatory,2004.0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,2011-09,0.0,Published Confirmed,4.0,19.0,False,True,2011,9,14,True,,False,high,True,False, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Rotational Velocity [km/s], Star Rotation Period [days], Projected Obliquity, True Obliquity, Eclipse Depth [%], ",486.0,490.0,3.0,7.0,12.0,5.0,9.0,14.0,Transit,3.0,7.0,12.0,0,0,0,2
AUMic,0.51,-0.027,0.028,3678.0,-88.0,90.0,0.744,-0.021,0.023,4.404,-0.031,0.026,0.23,-0.3,0.24,[Fe/H],0.0201,-0.0024,0.0025,,8.5,-0.2,0.2,4.856,-0.003,0.003,9.7221,-0.004625,0.004625,102.829,-0.0485613,0.0485613,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,10.209,8.81,4.831,,5.436,4.529,,,,,,6.755,,7.84038,,,,,311.2911369,-31.34245,456.8630854,-0.062801,0.062801,281.424,-0.0750541,0.0750541,-359.895,-0.0539548,0.0539548,AUMicb,0.353,-0.013,0.013,3.956770198021354,0.0488,-0.001,0.001,,,,0.03209279,-0.00849515,0.01227077,10.200000308877517,3.8999992767897376,-2.699999988282752,False,5.014098004883869,,,,,,,,,8.463,2e-06,2e-06,599.9752522836648,601.7130600711449,598.2524297937698,29032.0,3430.59,2882.08,21.328646036808955,2.520316885072212,2.117348586723834,0.0649,-0.0012,0.0012,9708901808.43,18.79,-0.59,0.5,89.57917,-0.37639,0.37639,0.00577,-0.00101,0.00101,88.4304,-0.0578,0.0578,,,,,,,True,0.1372128336486653,2458330.39051,0.00015,0.00015,0.2379,-0.0099,0.01,3.4927,-0.0067,0.0074,12812.536233206518,607.6222843936512,11597.291664419216,True,0.1388048581610869,,,,12958.485597644973,614.8002258991901,11728.885145846592,2458334.622861529,1.0,1.0,Transiting Exoplanet Survey Satellite (TESS),2020.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,2023-12,0.0,Published Confirmed,0.0,0.0,True,False,2023,12,13,True,,False,high,True,False," Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Planet Mass [Mjup], Star Rotational Velocity [km/s], Star Rotation Period [days], ",43.0,43.0,1.0,1.0,2.0,52.0,59.0,101.0,Transit,1.0,1.0,2.0,0,0,0,3
CoRoT-11,1.27,-0.05,0.05,6440.0,-120.0,120.0,1.37,-0.03,0.03,4.22,-0.23,0.23,-0.03,-0.08,0.08,[Fe/H],2.0,-1.0,1.0,F6 V,40.0,-5.0,5.0,,,,655.037,-23.209,24.947,1.50071,-0.0555897,0.0555897,,,TIC 110178537,Gaia DR2 4285511294172309504,13.529,12.897,11.416,,11.589,11.248,,,,,,12.419,,12.841,11.173,11.265,11.47,9.198,280.6872998,5.9376586,5.5818875,-0.0764887,0.0764887,1.91873,-0.0704864,0.0704864,-5.24175,-0.0772575,0.0772575,CoRoT-11b,1.43,-0.03,0.03,16.028842445242315,0.107,-0.0005,0.0005,,,,2.33,-0.34,0.34,740.5401873655923,108.06165824218944,-108.06165824218944,False,280.0,-40.0,40.0,,,,0.99,-0.15,0.15,2.99427803,4.9e-07,4.9e-07,1734.8473161779764,1734.8473161779764,1734.8473161779764,2068079.28,197593.54,157383.21,1519.3349042153045,145.16404911201613,115.62313234454297,0.0436,-0.005,0.005,6522467162.52,6.89,-0.08,0.08,83.17,-0.15,0.15,0.0,,,0.0,,,0.1,-2.6,2.6,,,,True,0.8193854476016788,2456019.9622,0.00037,0.00037,1.1449,-0.010675,0.010725,2.5009,-0.0144,0.0144,8977.749016067912,2351.0229640718944,4275.703087924123,True,0.8193854476016788,,,,8977.749016067912,2351.0229640718944,4275.703087924123,2456021.4593390147,1.0,1.0,CoRoT,2010.0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2010-12,0.0,Published Confirmed,0.0,0.0,False,False,2010,12,12,True,,False,low,True,False, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ","Projected Obliquity, ",139.0,133.0,26.0,371.0,737.0,2.0,11.0,21.0,Eclipse,2.0,11.0,21.0,1,0,1,2
CoRoT-19,1.21,-0.05,0.05,6090.0,-70.0,70.0,1.65,-0.04,0.04,4.07,-0.03,0.03,-0.02,-0.1,0.1,[Fe/H],5.0,-1.0,1.0,F9 V,6.0,-1.0,1.0,,,,790.663,-25.071,26.737,1.23764,-0.0410691,0.0410691,,,TIC 42821097,Gaia DR2 3120002649138831360,14.905,14.135,11.961,,12.324,11.837,15.9662,14.4123,13.7257,13.4259,13.2554,13.1861,,13.7831,11.763,11.787,12.08,9.147,97.0335983,-0.1707293,7.6938008,-0.0503231,0.0503231,4.79937,-0.052413,0.052413,-6.01337,-0.0489453,0.0489453,CoRoT-19b,1.29,-0.03,0.03,14.459585142910898,0.0786,-0.0004,0.0004,,,,1.11,-0.06,0.06,352.78953132008905,19.069704395680485,-19.069704395680485,False,126.0,-6.0,6.0,,,,0.71,-0.06,0.06,3.8971379,1.6e-06,1.6e-06,1663.661220536326,1665.501784260385,1665.5017842824652,1722349.51,97703.78,88423.89,1265.3411081035183,71.77904863868332,64.96148563680528,0.0518,-0.0008,0.0008,7749169702.26,6.7,-0.1,0.1,88.0,-0.7,0.7,0.047,-0.045,0.045,0.0,,,-52.0,-22.0,27.0,,,,True,0.2333101048884976,2455701.7154,0.00048,0.00048,0.6454794478671868,,,4.7,-0.1,0.1,16907.859704429087,1306.789646508295,14294.280411412496,True,0.2333101048823115,,,,16907.85970441758,1306.3778271639594,14295.104050089662,2455703.780532772,1.0,1.0,CoRoT,2011.0,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,2012-01,0.0,Published Confirmed,0.0,0.0,False,False,2012,1,12,True,,False,medium,True,False," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Periastron, ",,99.0,99.0,15.0,205.0,407.0,3.0,20.0,39.0,Eclipse,3.0,20.0,39.0,1,0,1,2
CoRoT-2,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.906,-0.027,0.026,,,,,,,,2.7,-2.7,3.2,,10.87,-0.32,0.32,4.522,-0.024,0.024,213.283,-2.43,2.485,4.66076,-0.0536076,0.0536076,,,TIC 391958006,Gaia DR2 4287820848378092672,13.346,12.516,10.438,,10.783,10.31,,,,,,11.6659,,12.2489,10.064,10.098,10.189,9.035,291.7770457,1.3836634,11.4550454,-0.0745396,0.0745396,-3.40878,-0.0843212,0.0843212,-10.9361,-0.0735199,0.0735199,CoRoT-2b,1.466,-0.044,0.042,16.432365751556105,0.1662804594987626,-0.0003608361450339,0.0003608361450339,,,,3.47,-0.22,0.22,1102.8645708835218,69.92224945082846,-69.92224945082846,False,603.0,-18.0,18.0,,,,1.47,-0.074,0.08,1.74299705,1.5e-07,1.5e-07,1543.4624504231008,1554.3784990590195,1532.7865657182542,1327114.57,165188.2,148338.07,974.9778490569688,121.357145469055,108.97803075273455,0.02798,-0.0008,0.00076,4185748422.186,6.640838538258193,,,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,102.0,-5.0,17.0,4.0,-5.9,6.1,,,,True,0.2193808977743576,2457683.44158,0.00016,0.00016,2.75,-0.012,0.012,2.26704,-0.0024,0.00264,8199.601698852272,1228.3852384166594,5742.831222018953,True,0.2256051448013603,,,,8422.200696425814,1264.7579761773814,5892.684744071052,2457684.3097791355,1.0,1.0,CoRoT,2008.0,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,2010-02,0.0,Published Confirmed,0.0,3.0,True,True,2010,2,12,True,,False,low,True,False," a/Rs, Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Rotation Period [days], ",220.0,221.0,4.0,44.0,88.0,1.0,1.0,1.0,Eclipse,1.0,1.0,1.0,0,0,0,3
CoRoT-36,1.32,-0.09,0.09,6730.0,-140.0,140.0,1.52,-0.1,0.2,4.16,-0.06,0.06,-0.1,-0.1,0.1,[Fe/H],2.1,-0.5,0.6,F3 V,25.6,-0.3,0.3,,,,925.958,-26.247,27.796,1.05227,-0.0312438,0.0312438,,,TIC 405004589,Gaia DR2 4477340334766250496,13.753,13.126,11.641,,11.859,11.592,,,,,,12.5161,,12.9515,11.512,11.539,11.234,8.872,277.7510149,7.1833465,4.0987041,-0.0469447,0.0469447,0.986842,-0.0504421,0.0504421,-3.97813,-0.0467209,0.0467209,CoRoT-36b,1.41,-0.14,0.14,15.80466283062354,0.0953259118040897,-0.0005769679928478,0.0005769679928478,,,,0.68,-0.43,0.47,216.1233164843789,149.37935109949714,-136.66621483571015,False,65.0,-45.0,45.0,,,,0.25,-0.17,0.17,5.616531,2.3e-05,2.3e-05,1557.3928920760054,1557.3928920760054,1557.3928920760054,1360761.08,624922.47,311653.41,999.696590520318,459.105475443592,228.9592610930868,0.066,-0.007,0.007,9873459466.2,9.336922548852726,,,85.83,-0.26,0.26,0.0,,,0.0,,,275.8,-11.3,11.3,,,,True,0.6789436084571804,2455662.52236,0.00034,0.00034,1.01,-0.011,0.011,4.98,-0.07,0.07,14277.56105271782,2176.644991723859,9924.271069270104,True,0.6789436084571804,,,,14277.56105271782,2176.644991723859,9924.271069270104,2455665.3306255,1.0,1.0,CoRoT,2022.0,<a refstr=SEBASTIAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220708742S/abstract target=ref>Sebastian et al. 2022</a>,2022-07,0.0,Published Confirmed,0.0,0.0,False,False,2022,7,10,True,,False,alert,True,False," a/Rs, Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",,72.0,74.0,5.0,72.0,143.0,5.0,34.0,68.0,Eclipse,5.0,34.0,68.0,1,0,1,1
DSTucA,1.01,-0.06,0.06,5428.0,-80.0,80.0,0.964,-0.029,0.029,,,,0.0,,,,0.045,-0.004,0.004,G6 V,17.8,-0.2,0.2,2.85,-0.05,0.04,44.0622,-0.0691,0.0693,22.6663,-0.0353827,0.0353827,HD 222259 A,HIP 116748 A,TIC 410214986,Gaia DR2 6387058411482257536,8.886,8.17,6.759,,7.122,6.676,,,,,,7.8541,,8.31926,6.767,6.65,6.728,6.589,354.9154673,-69.196043,104.2238507,-0.0632739,0.0632739,79.4639,-0.0736336,0.0736336,-67.4396,-0.0451044,0.0451044,DSTucAb,0.50851994,-0.01516638,0.01516638,5.699990208758094,0.05419,-0.00024,0.00024,,,,0.0927859165137761,-0.0534565181949493,0.1257282205456255,29.489999999999995,39.96000000000001,-16.99,True,,,,9.312908587866676,12.619322725369702,5.365422750351128,,,,8.138268,1.1e-05,1.1e-05,850.8296861247584,850.8296861247584,850.8296861247584,118949.82,9374.56,8543.43,87.38766212875926,6.887113254024103,6.276515376489899,0.091230076445199,,,13647825179.999994,20.35,-0.69,0.29,89.5,-0.41,0.34,0.0,,,0.0,,,,,,,,,True,0.1775849973919088,2458332.31077,0.00026,0.00026,0.2936,-0.0026,0.0026,3.1764,-0.00936,0.01176,11434.168020568408,606.3954493600431,10221.377121848322,True,0.1775849973919088,,,,11434.168020568408,606.3954493600431,10221.377121848322,2458336.379904,1.0,0.0,Transiting Exoplanet Survey Satellite (TESS),2019.0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,2019-07,0.0,Published Confirmed,0.0,0.0,False,False,2019,7,11,True,,False,high,True,False," Planet Semi-major Axis, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Planet Mass, ",,93.0,92.0,1.0,3.0,6.0,9.0,25.0,44.0,Transit,1.0,3.0,6.0,0,0,0,2
EPIC211945201,1.18,-0.04,0.03,6025.0,-100.0,100.0,1.38,-0.018,0.017,4.25,-0.1,0.1,0.1,-0.1,0.1,[Fe/H],3.99,-0.7,0.85,G0,4.0,-1.0,1.0,,,,181.69,-1.277,1.295,5.47529,-0.0386732,0.0386732,,,TIC 243244680,Gaia DR2 636363799347569408,10.938,10.154,8.908,,9.144,8.837,,,,,,9.66896,10.115,10.0512,8.822,8.844,8.81,8.623,136.5741931,19.4020565,61.7731533,-0.0536492,0.0536492,45.4915,-0.0597013,0.0597013,-41.7905,-0.0454461,0.0454461,EPIC211945201b,0.54598983,-0.0089214,0.0089214,6.119989483758487,0.0407,-0.0003,0.0003,,,,0.08495107,-0.03964383,0.04404871,26.999863216612685,13.99993131185092,-12.599935320210166,False,5.7,-2.7,3.0,,,,0.65,-0.3,0.34,19.4921498,7.7e-06,7.7e-06,886.4128912943527,886.4128912943527,886.4128912943527,139812.17,11407.41,11317.56,102.71439396418296,8.380566619135948,8.314557427677995,0.148,-0.004,0.004,22140484863.6,23.1,-0.47,0.47,87.9,-0.06,0.06,0.0,,,90.0,,,,,,,,,True,0.8464696711214449,2458094.44793,0.00024,0.00024,0.1653034129898604,,,3.91,-0.02,0.02,14061.03211423238,1789.1415727907597,10482.748968650862,True,0.8464696711214449,,,,14061.03211423238,1789.1415727907597,10482.748968650862,2458104.1940049,1.0,1.0,K2,2018.0,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,2018-07,0.0,Published Confirmed,0.0,0.0,False,False,2018,7,11,True,,False,high,True,False," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, ",,18.0,19.0,3.0,28.0,54.0,65.0,384.0,759.0,Transit,3.0,28.0,54.0,0,0,0,1
EPIC246851721,1.317,-0.04,0.041,6202.0,-50.0,52.0,1.586,-0.033,0.034,4.157,-0.016,0.016,0.141,-0.085,0.082,[Fe/H],3.02,-0.46,0.44,F5 V,74.92,-0.6,0.62,,,,372.632,-17.644,19.456,2.66391,-0.130014,0.130014,,,TIC 411839167,Gaia DR2 3393939026234131584,12.067,11.237,9.967,,10.199,9.893,15.2612,11.7275,11.3069,11.1782,11.3319,10.8243,11.257,11.2549,9.813,9.816,9.754,8.609,78.9198197,16.2786991,13.2641483,-0.0952148,0.0952148,2.71745,-0.112019,0.112019,-12.9828,-0.0944102,0.0944102,EPIC246851721b,1.051,-0.044,0.044,11.780638748216552,0.0681,-0.0026,0.0025,3.0,-1.2,1.1,3.0,-1.2,1.1,953.4852197840244,349.6112472541423,-381.3940879136097,False,270.0,-110.0,100.0,,,,3.1,-1.3,1.3,6.1802679,2e-06,2e-06,1400.889003454592,1400.889003454592,1400.889003454592,875438.25,41200.34,40404.5,643.1493717736796,30.26823740893433,29.683565679052336,0.07229,-0.00075,0.00074,10814430072.903,9.8,-0.17,0.17,86.21,-0.17,0.17,0.0,,,0.0,,,-1.47,-0.86,0.87,3.7,-1.8,3.7,True,0.6477775517879722,2458439.87506,0.00025,0.00025,0.464,-0.035,0.035,4.10808,-0.018,0.01776,14780.11563488618,1563.0813473256164,11653.952940234944,True,0.6477775517879722,,,,14780.11563488618,1563.0813473256164,11653.952940234944,2458442.96519395,1.0,1.0,K2,2018.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,2018-12,0.0,Published Confirmed,0.0,0.0,False,False,2018,12,12,True,,False,high,True,False, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",,57.0,57.0,108.0,1382.0,2736.0,2.0,16.0,31.0,Eclipse,2.0,16.0,31.0,0,0,0,2
G9-40,0.2952,-0.0136,0.0136,3395.0,-51.0,51.0,0.3026,-0.0095,0.0095,4.84,-0.04,0.04,-0.07,-0.16,0.16,[Fe/H],9.9,-4.1,2.6,,,,,30.0,-1.0,1.0,27.9276,-0.045,0.0451,35.7781,-0.0572949,0.0572949,,,TIC 203214081,Gaia DR2 684992690384102528,15.477,13.821,9.433,,10.058,9.19,17.28,16.0466,13.372,12.135,13.8174,11.5219,12.771,12.7331,,,,,134.7188514,21.0747961,363.6302602,-0.0771468,0.0771468,175.512,-0.102957,0.102957,-318.469,-0.0673777,0.0673777,G9-40b,0.16950694,-0.00579892,0.00579892,1.900000024220379,0.0575,-0.00075,0.00075,,,,0.01258541,-0.0019822,0.0019822,4.000000806640686,0.6299994675519643,-0.6299994675519643,False,3.22,-0.49,0.49,,,,3.2,-0.58,0.63,5.7459996,2e-06,2e-06,434.9705275258915,434.9705275258915,434.9705275258915,10197.94,3037.98,3270.88,7.492017517381356,2.231882064167294,2.402984353433373,0.0418,-0.00064,0.00064,6253190995.259999,30.46,-0.75,0.67,89.03,-0.1,0.1,0.0,,,90.0,,,,,,,,,True,0.5156538383152873,2458319.65105,0.00013,0.00013,0.3313660471371848,,,1.693,-0.061,0.07,4791.284305378022,348.6425779301507,4093.99914951772,True,0.5156538383152873,,,,4791.284305378022,348.6425779301507,4093.99914951772,2458322.5240498,1.0,1.0,K2,2019.0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.154L/abstract target=ref>Luque et al. 2022</a>,2022-10,0.0,Published Confirmed,0.0,0.0,False,False,2022,10,11,True,,False,high,True,False," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, ","Star Age [Gyr], ",58.0,61.0,2.0,23.0,46.0,3815.0,24511.0,57691.0,Transit,2.0,23.0,46.0,1,0,1,1
