Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star C/H,Star C/H Error,Star O/H,Star O/H Error,Star N/H,Star N/H Error,Star C/O,Star N/O,Star C/N,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia DR3 ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Coordinate Source,Coordinate Ref Epoch,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],2MASS RA,2MASS Dec,Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Planet Radius [Re],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mjup],Msin(i) Error Lower [Mjup],Msin(i) Error Upper [Mjup],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Mass Flag,Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],Planet Semi-major Axis [m],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit,Transit Impact Parameter,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse,Eclipse Impact Parameter,Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Eclipse Mid Time,Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,In PLATO FOV,No. Desired Parameters,Inferred Parameters,ExoClock Orbital Parameters,ExoClock Priority,ExoClock Ephemeris,Uniform Stellar Parameters,Calculated Parameters,Assumed Parameters,Replaced Values,Available Transits,Available Eclipses,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
55Cnc,0.905,-0.015,0.015,5234,-30,30,0.943,-0.01,0.01,4.45,-0.08,0.08,0.31,-0.04,0.04,[Fe/H],,,,,,,,,,,,,,1.06,-0.23,0.23,39,-1,1,12.5855,-0.0123,0.0124,79.4274,-0.0776646,0.0776646,HD 75732,HIP 43587,TIC 332064670,Gaia DR3 704967037090946688,6.816,5.95084,4.265,,4.768,4.015,,,,,,5.2058,,5.72973,4.001,3.296,4.051,4.014,133.1468373,28.3298154,NEA,J2000,539.1329986,-0.1295797,0.1295797,-485.872,-0.133857,0.133857,-233.651,-0.109171,0.109171,,,55Cnce,0.18556517,-0.01516638,0.01427424,2.079996415,0.0202,-0.0016,0.0015,0.02454142,-0.00176195,0.00176195,0.02457288,-0.00166756,0.00182487,7.809959296,0.579995524,-0.529997938,FALSE,5.93,-0.42,0.42,,,,4.78,-1.2,1.31,0.73654635,1.40E-07,1.40E-07,1973.479122,1954.440456,1999.623517,3444592.48,102317.94,103737.66,2530.603946,75.16888693,76.21189828,0.01544,-9.00E-05,9.00E-05,2309791124,3.517,-0.04,0.041,87.3,-2.1,1.7,0.061,-0.043,0.065,202,-70,88,10,-20,17,23,-12,15,TRUE,0.168916835,2459554.207,0.0001,0.0001,0.041,-0.0063,0.0063,1.596,-0.0456,0.0264,6008.937729,125.5197616,5757.898206,TRUE,0.161369463,0.0154,-0.0023,0.0023,5751.132099,120.3262593,5510.47958,2459554.549,1,1,McDonald Observatory,2004,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,2011-09,0,Published Confirmed,4,19,FALSE,TRUE,0.2,2.3,0.8,FALSE,14,,FALSE,high,TRUE,FALSE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Rotational Velocity [km/s], Star Rotation Period [days], Projected Obliquity, True Obliquity, Eclipse Depth [%], ",486,490,3,7,12,5,9,14,Transit,3,7,12,green,green,green,2
AUMic,0.635,-0.07,0.04,3540,-110,120,0.862,-0.052,0.052,4.37,-0.1,0.08,0.01,-0.06,0.06,[Fe/H],,,,,,,,,,0.019,-0.006,0.01,M1 V,9.2,-0.2,0.2,4.86,-0.01,0.01,9.7221,-0.004625,0.004625,102.829,-0.0485613,0.0485613,HD 197481,HIP 102409,TIC 441420236,Gaia DR3 6794047652729201024,10.209,8.81,4.831,6.59,5.436,4.529,,,,,,6.755,,7.84038,4.449,4.008,4.313,4.14,311.2911369,-31.34245,NEA,J2000,456.8630854,-0.062801,0.062801,281.424,-0.0750541,0.0750541,-359.895,-0.0539548,0.0539548,,,AUMicb,0.42733591,-0.02587211,0.02587211,4.789999981,0.0499,-0.0004,0.0004,,,,0.0282857,-0.00840076,0.00821198,8.98999896,2.610000518,-2.670000165,FALSE,3.8,-1.095,1.093,,,,0.49,-0.16,0.16,8.463,2.00E-06,2.00E-06,598.198323,582.8956181,615.9864267,29032,3430.59,2882.08,21.32864604,2.520316885,2.117348587,0.07,-0.007,0.006,10471850949,17.51,-1.24,1.12,88.39,-0.23,0.2,0.07,-0.04,0.09,-52,-92.8,43,,,,,,,TRUE,0.518132741,2458330.391,0.00015,0.00015,0.249,-0.004,0.004,3.24,-0.21,0.23,12825.82488,820.5623821,11184.70011,TRUE,0.463959778,,,,11846.01069,709.4086202,10427.19345,2458334.854,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,2024-09,0,Published Confirmed,0,0,TRUE,FALSE,0.2,2.3,0.8,FALSE,14,,FALSE,high,TRUE,FALSE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,43,42,1,1,1,28,31,53,Transit,1,1,1,green,green,green,3
CoRoT-1,0.95,-0.15,0.15,5950,-150,150,1.11,-0.05,0.05,4.25,-0.3,0.3,-0.3,-0.25,0.25,[M/H],,,,,,,,,,1.6,-0.5,0.5,G0 V,5.2,-1,1,,,,787.909,-23.491,23.491,1.300009492,0.016687661,0.016687661,,,TIC 36352297,Gaia DR3 3105507886130792448,14.158,13.623,12.218,,12.462,12.149,,,,,,13.0501,,13.457,12.098,12.136,12.29,9.091,102.079884,-3.102141794,Gaia,J2000,6.039454,-0.0471126,0.0471126,-6.01462,-0.0471568,0.0471568,0.54713,-0.0414233,0.0414233,102.0798849,-3.102141874,CoRoT-1b,1.49,-0.08,0.08,16.70138129,0.1388,-0.0021,0.0021,,,,1.03,-0.12,0.12,327.3632588,38.13940879,-38.13940879,FALSE,188,-11,11,,,,0.38,-0.05,0.05,1.508968475,5.80E-08,5.80E-08,1896.790721,1896.790721,1896.790721,2973374.83,348145.77,285562.84,2184.419237,255.7687344,209.7915657,0.025397132,,,3799356840,4.92,-0.08,0.08,85.1,-0.5,0.5,0,,,0,,,77,-11,11,,,,TRUE,0.420251262,2455111.613,6.70E-05,6.70E-05,1.92654,-0.0578552,0.058737,,,,9031.523313,1321.274958,6388.973398,TRUE,0.420251262,,,,9031.523313,1321.274958,6388.973398,2455112.367,1,1,CoRoT,2008,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,2008-05,0,Published Confirmed,6,9,FALSE,TRUE,0.2,2.3,0.8,FALSE,11,,FALSE,medium,TRUE,FALSE," Planet Semi-major Axis, Transit Impact Parameter, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ","Star Age [Gyr], Projected Obliquity, ",263,262,5,63,125,2,9,18,Eclipse,2,9,18,orange,orange,orange,2
CoRoT-11,1.316575,0.022863,0.02377,6541,81,81,1.476822,0.047257,0.048921,4.21,0.02,0.02,-0.03,-0.08,0.08,[Fe/H],,,,,,,,,,2,-1,1,F6 V,38.3,1.1,1.1,,,,655.037,-23.209,24.947,1.533888241,0.014435835,0.014435835,,,TIC 110178537,Gaia DR3 4285511294172309504,13.529,12.897,11.416,,11.589,11.248,,,12.638,12.283,,12.419,,12.841,11.173,11.265,11.47,9.198,280.6872917,5.937680644,Gaia,J2000,5.5818875,-0.0764887,0.0764887,1.91873,-0.0704864,0.0704864,-5.24175,-0.0772575,0.0772575,280.6872913,5.937681381,CoRoT-11b,1.43,-0.03,0.03,16.02884245,0.107,-0.0005,0.0005,,,,2.33,-0.34,0.34,740.5401874,108.0616582,-108.0616582,FALSE,280,-40,40,,,,0.99,-0.15,0.15,2.99427799,4.50E-07,4.50E-07,1826.205659,1826.205659,1826.205659,2068079.28,197593.54,157383.21,1519.334904,145.1640491,115.6231323,0.0436,-0.005,0.005,6522467163,6.41444276,-0.08,0.08,83.17,-0.15,0.15,0,,,0,,,0.1,-2.6,2.6,,,,TRUE,0.762830341,2456067.871,0.00034,0.00034,1.1449,-0.010675,0.010725,2.5009,-0.0144,0.0144,10399.98115,2195.93309,6008.114971,TRUE,0.762830341,,,,10399.98115,2195.93309,6008.114971,2456069.368,1,1,CoRoT,2010,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2010-12,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,low,TRUE,TRUE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ","Projected Obliquity, ",139,133,22,322,640,2,8,16,Eclipse,2,8,16,yellow,green,green,2
CoRoT-18,0.95,-0.15,0.15,5440,-100,100,1,-0.13,0.13,4.4,-0.1,0.1,-0.1,-0.1,0.1,[Fe/H],,,,,,,,,,6.92,-3.12,5.67,G9 V,8,-1,1,5.4,-0.4,0.4,764.889,-25.784,27.614,1.277002723,0.027818222,0.027818222,,,TIC 37168957,Gaia DR3 3120058170178779392,15.751,14.868,13.081,,13.441,13.014,16.9794,15.387,14.7454,14.5159,14.4078,14.2465,,14.8009,12.955,12.955,11.968,8.771,98.17240726,-0.031590897,Gaia,J2000,4.0100233,-0.0664699,0.0664699,2.33468,-0.0679364,0.0679364,-3.2603,-0.0657052,0.0657052,98.17240693,-0.031590444,CoRoT-18b,1.31,-0.18,0.18,14.68376476,0.1341,-0.0019,0.0019,,,,3.47,-0.38,0.38,1102.864571,120.7747945,-120.7747945,FALSE,590,-14,14,,,,2.2,-0.8,0.8,1.9000693,-2.80E-06,2.80E-06,1526.50081,1526.50081,1526.50081,1256624.23,215996.02,187284.17,923.1914234,158.6836131,137.5901684,0.0295,-0.0016,0.0016,4413137186,6.35,-0.4,0.4,86.5,-0.9,1.4,0,,,0,,,-10,-20,20,20,-20,20,TRUE,0.387658226,2455321.724,-0.00018,0.00018,1.812230678,,,2.387,-0.038,0.038,8828.957311,1214.680746,6399.595819,TRUE,0.387658226,,,,8828.957311,1214.680746,6399.595819,2455322.674,1,1,CoRoT,2011,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,2011-09,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,11,,FALSE,,,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ","Star Age [Gyr], Star Rotation Period [days], ",203,203,158,2361,4704,5,29,57,Eclipse,5,29,57,red,orange,orange,1
CoRoT-19,1.264153,0.029822,0.022923,6202,63,63,1.641166,0.052061,0.05248,4.11,0.02,0.02,-0.02,-0.1,0.1,[Fe/H],,,,,,,,,,5,-1,1,F9 V,6.5,0.3,0.3,,,,790.663,-25.071,26.737,1.189872681,0.018072695,0.018072695,,,TIC 42821097,Gaia DR3 3120002649138831360,14.905,14.135,11.961,,12.324,11.837,15.9662,14.4123,13.7257,13.4259,13.2554,13.1861,,13.7831,11.763,11.787,12.08,9.147,97.0335785,-0.17070439,Gaia,J2000,7.6938008,-0.0503231,0.0503231,4.79937,-0.052413,0.052413,-6.01337,-0.0489453,0.0489453,97.03357784,-0.17070356,CoRoT-19b,1.29,-0.03,0.03,14.45958514,0.0786,-0.0004,0.0004,,,,1.11,-0.06,0.06,352.7895313,19.0697044,-19.0697044,FALSE,126,-6,6,,,,0.71,-0.06,0.06,3.89713846,8.80E-07,8.80E-07,1685.639086,1687.503964,1687.503964,1722349.51,97703.78,88423.89,1265.341108,71.77904864,64.96148564,0.0518,-0.0008,0.0008,7749169702,6.768685607,-0.1,0.1,88,-0.7,0.7,0.047,-0.045,0.045,0,,,-52,-22,27,,,,TRUE,0.235701903,2456551.292,0.00045,0.00045,0.65244707,,,4.7,-0.1,0.1,16726.32708,1293.996599,14138.33388,TRUE,0.235701903,,,,16726.32708,1293.601522,14139.12404,2456553.357,1,1,CoRoT,2011,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,2012-01,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,high,TRUE,TRUE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Periastron, ",,99,99,14,196,389,3,19,38,Eclipse,3,19,38,orange,yellow,yellow,2
CoRoT-2,0.942728,0.015487,0.012853,5615,48,48,0.865815,0.010637,0.012441,4.45,0.16,0.16,,,,,-0.05,0.05,0.13,0.12,,,0.363078055,,,2.7,-2.7,3.2,,10.2,0.3,0.3,4.522,-0.024,0.024,213.283,-2.43,2.485,4.66076,-0.0536076,0.0536076,,,TIC 391958006,Gaia DR3 4287820848378092672,13.346,12.516,10.438,,10.783,10.31,,,,,,11.6659,,12.2489,10.064,10.098,10.189,9.035,291.7770457,1.3836634,NEA,J2000,11.4550454,-0.0745396,0.0745396,-3.40878,-0.0843212,0.0843212,-10.9361,-0.0735199,0.0735199,291.7770602,1.383711083,CoRoT-2b,1.466,-0.044,0.042,16.43236575,0.173998021,-0.000344832,0.000344832,,,,3.47,-0.22,0.22,1102.864571,69.92224945,-69.92224945,FALSE,603,-18,18,,,,1.47,-0.074,0.08,1.742997,1.10E-07,1.10E-07,1505.80365,1516.453358,1495.388245,1327114.57,165188.2,148338.07,974.9778491,121.3571455,108.9780308,0.02798,-0.0008,0.00076,4185748422,6.952369326,,,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,102,-5,17,4,-5.9,6.1,,,,TRUE,0.229672355,2458363.21,0.00012,0.00012,2.75,-0.012,0.012,2.26704,-0.0024,0.00264,7869.025553,1229.725457,5409.57464,TRUE,0.23618859,,,,8082.013599,1266.371428,5549.270742,2458364.079,1,1,CoRoT,2008,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,2010-02,0,Published Confirmed,0,7,TRUE,TRUE,0.2,2.3,0.8,FALSE,12,,FALSE,low,TRUE,TRUE," Rp/Rs, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Rotation Period [days], ",220,221,4,45,89,1,1,1,Eclipse,1,1,1,green,green,green,3
CoRoT-26,1.09,-0.06,0.06,5590,-100,100,1.79,-0.09,0.18,3.99,-0.08,0.05,0.01,-0.13,0.13,[Fe/H],,,,,,,,,,8.6,-0.9,1.8,G5,2,-1,1,,,,1045.18,,,0.404626617,0.194246411,0.194246411,,,TIC 322388624,Gaia DR3 4286437357841760000,17.595,15.861,13.358,,13.813,13.261,,,,,,14.8162,,15.4682,13.158,13.295,12.082,8.807,279.7504954,6.969812543,Gaia,J2000,10.1140368,-2.1028963,2.1028963,-4.34333,-2.10288,2.10288,-9.13396,-2.1029,2.1029,279.7504952,6.969813537,CoRoT-26b,1.26,-0.07,0.13,14.12331572,0.0718,-0.001,0.001,,,,0.52,-0.05,0.05,165.2707714,15.89142033,-15.89142033,FALSE,61,-6,5,,,,0.28,-0.07,0.09,4.20474,-5.00E-05,5.00E-05,1577.309751,1577.309751,1577.309751,1506962.21,283830.94,141762.18,1107.104697,208.5192082,104.1469881,0.0526,-0.001,0.001,7868847999,6.28,-0.52,0.01,86.8,-1,2.2,0,,,0,,,,,,,,,TRUE,0.350559051,2454573.63,-0.0008,0.0008,0.523245997,,,5.47,-0.04,0.06,18761.73048,1430.5598,15900.61088,TRUE,0.350559051,,,,18761.73048,1430.5598,15900.61088,2454575.732,1,1,CoRoT,2013,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,2013-07,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,10,,FALSE,,,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,98,97,10,135,269,9,59,116,Eclipse,9,59,116,orange,orange,orange,1
CoRoT-28,1.308032,0.04881,0.041204,5390,61,61,2.370915,0.07695,0.079416,3.81,0.02,0.02,0.15,-0.1,0.1,[Fe/H],,,,,,,,,,12,-1.5,1.5,G8/9 IV,4.3,0.3,0.3,,,,766.183,-14.152,14.685,1.302257863,0.015853832,0.015853832,,,TIC 106352250,Gaia DR3 4284680029006075648,15.014,13.783,11.143,,11.601,11.032,,,,,,12.671,,13.4119,10.926,11.005,11.384,8.825,278.6883463,5.573719073,Gaia,J2000,8.9097951,-0.0446035,0.0446035,-5.91899,-0.0479943,0.0479943,-6.65958,-0.0417306,0.0417306,,,CoRoT-28b,0.955,-0.066,0.066,10.7045766,0.0551,-0.0004,0.0004,,,,0.484,-0.087,0.087,153.8289488,27.65107137,-27.65107137,FALSE,56.4,-4.9,4.9,,,,0.69,-0.27,0.27,5.20851,-0.00038,0.00038,1647.485866,1680.372485,1617.648168,755109.29,60491.74,67299.18,554.7485108,44.44085528,49.44200843,0.0603,-0.005,0.005,9020751603,5.351852555,-0.16,0.16,88.1,-0.8,0.8,0.047,-0.038,0.055,126,-61,140,,,,,,,TRUE,0.17056416,2455755.847,-0.0029,0.0029,0.171334831,,,5.7,-0.09,0.09,27012.14501,1467.025799,24078.09342,TRUE,0.184047856,,,,29069.4611,1585.3757,25898.7097,2455758.359,1,1,CoRoT,2015,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,2015-07,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,13,,FALSE,,,TRUE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,77,77,22,289,578,8,55,109,Eclipse,8,55,109,orange,green,green,1
CoRoT-3,1.378312,0.023764,0.02396,6751.5,81,81,1.567679,0.053183,0.055112,4.2,0.02,0.02,,,,,,,,,,,,,,2.2,-0.6,0.6,,19.1,0.6,0.6,,,,768.771,-28.545,30.791,1.311829968,0.017683201,0.017683201,,,TIC 392353449,Gaia DR3 4263427117767106816,14.118,13.448,11.71,,11.936,11.618,,,13.099,12.676,,12.7127,,13.2188,11.343,11.394,11.323,8.979,292.055268,0.121837176,Gaia,J2000,3.5086162,-0.0837712,0.0837712,3.49344,-0.0839325,0.0839325,-0.325982,-0.0625428,0.0625428,292.0552676,0.121837218,CoRoT-3b,0.9934,-0.058,0.058,11.13500146,0.06632,-0.00069,0.00063,,,,21.23,-0.59,0.82,6747.497072,260.6192934,-187.5187599,FALSE,2169.9,-22.7,35.1,,,,,,,4.2566839,1.80E-06,1.80E-06,1704.105489,1704.160023,1704.160023,0,0,0,0,0,0,0.05694,-0.00079,0.00096,8518102758,7.848336184,-0.345,0.427,86.1,-0.52,0.73,0.008,-0.005,0.015,0,,,-37.6,-22.3,10,,,,TRUE,0.533772703,2454398.069,0.00035,0.00035,0.4398,-0.0091,0.0084,,,,13832.9103,1180.88751,11471.13528,TRUE,0.533772703,,,,13832.9103,1180.853715,11471.20287,2454400.219,1,1,CoRoT,2008,<a refstr=TRIAUD_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..377T/abstract target=ref> Triaud et al. 2009 </a>,2009-10,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,12,,FALSE,high,TRUE,TRUE, ,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Periastron, ","Star Age [Gyr], ",90,90,21458,314449,624496,8,59,116,Eclipse,8,59,116,orange,green,green,1
