Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1017.01,1.59025,7174,1.65429,406.997,4.20497,10.046,10.248,10.013,11.201,9.949,9.962,9.978,10.6019,0,124.726411,-37.78325,1017.01,21.0448,1.877494529,959.8889749,3.020148467,1.10422,2754.688806,3650777244,0.3,2.3,8532,0.5,1,0,0,0,1,1,20,1,40,1,Eclipse,1,1,1,3
1011.01,0.8455568,5413.68,0.941335,52.62,4.46371,7.247,7.594,7.109,8.94,7.013,7.126,7.108,8.2388,0,113.984761,-32.841999,1011.01,1.44656,0.129053661,2.742931853,0.008630229,2.4704981,1332.030489,5059377353,0.3,2.3,7887.6,0.5,1,0,0,0,10,182,62,871,120,1692,Transit,10,62,120,1
1007.01,1.3735075,6596.02,2.70235,283.291,3.7132,8.257,8.426,8.193,9.374,8.142,8.166,8.16,8.87759,0,112.752393,-4.463359,1007.01,14.7752,1.31815732,239.1166479,0.752345111,6.9989206,1792.415486,11907598524,0.3,2.3,14230.8,0.5,1,0,0,0,3,1,23,4,45,7,Eclipse,1,4,7,2
1019.01,1.778,7645,1.56203,399.544,4.30354,10.083,10.178,10.017,10.891,9.986,9.998,9.373,10.6348,0,120.147994,-54.878552,1019.01,24.087882,2.148980588,1309.730958,4.120874441,5.2340964,1666.816394,10692145442,0.3,2.3,13287.25692,0.5,1,0,0,0,2,1,23,1,46,1,Eclipse,1,1,1,3
1021.01,1.354,6544,1.13944,235.974,4.45502,9.851,10.035,9.751,10.898,9.722,9.757,9.645,10.5551,0,119.30075,-42.999149,1021.01,3.34688,0.298589147,11.29636212,0.03554233,1.90879,1784.848315,4983924441,0.3,2.3,6872.4,0.5,1,0,0,0,7,44,94,350,186,699,Transit,7,94,186,1
1022.01,1.176875,6203,1.38126,120.666,4.23379,7.917,8.17,7.834,9.19,7.78,7.848,7.818,8.72924,0,162.96491,-5.788708,1022.01,3.4262,0.305665616,11.7991466,0.037124267,3.09574,1622.922332,6565677685,0.3,2.3,16110,0.5,1,0,0,0,3,15,20,79,39,150,Transit,3,20,39,2
1018.01,1.02225,5889,2.00193,360.541,3.86456,9.673,9.98,9.591,11.12,9.526,9.549,9.422,10.6254,0,111.716019,-50.266567,1018.01,22.9123,2.044102006,1174.582467,3.695649737,4.95912,1622.95468,8576601772,0.3,2.3,9032.4,0.5,1,0,0,0,6,1,73,1,145,2,Eclipse,1,1,2,3
1028.01,0.714533333,4634,0.684487,23.7748,4.63657,6.477,6.959,6.354,8.9,6.281,6.209,6.295,7.9059,0,157.098337,-51.705409,1028.01,1.20704,0.107685081,1.840206939,0.005789939,1.01606,1344.610664,2645332058,0.3,2.3,10234.8,0.5,1,0,0,0,3,46,10,138,19,252,Transit,3,10,19,2
1027.02,0.66608,4272,0.680275,56.3449,4.59877,8.548,9.188,8.432,11.308,8.333,8.397,8.31,10.2103,0,167.133275,-29.653135,1027.02,2.76586,0.246753926,8.128542919,0.025575256,11.02875,601.3092813,12668332495,0.1,2.3,9774,0.5,1,0,0,0,3,674,32,3939,64,6828,Transit,3,32,64,1
1027.01,0.66608,4272,0.680275,56.3449,4.59877,8.548,9.188,8.432,11.308,8.333,8.397,8.31,10.2103,0,167.133275,-29.653135,1027.01,2.87648,0.256622798,8.737471918,0.027491161,3.2834565,845.6879289,5648365217,0.3,2.3,5533.2,0.5,1,0,0,0,2,61,26,373,51,762,Transit,2,26,51,1
