Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1007.01,1.3735075,6596.02,2.70235,283.291,3.7132,8.257,8.426,8.193,9.374,8.142,8.166,8.16,8.87759,0,112.752393,-4.463359,1007.01,14.7752,1.318157319979858,239.1166479311929,0.7523451112918842,6.9989206,1792.4154863152164,11907598524.436802,0.3,2.3,14230.8,0.5,1,0,0,0,3.0,1.0,23.0,4.0,45.0,7.0,Eclipse,1.0,4.0,7.0,2
1011.01,0.8455568000000001,5413.68,0.941335,52.62,4.46371,7.247,7.594,7.109,8.94,7.013,7.126,7.108,8.2388,0,113.984761,-32.841999,1011.01,1.44656,0.1290536610529849,2.7429318529194022,0.0086302287523891,2.4704981,1332.0304886665704,5059377352.850476,0.3,2.3,7887.599999999999,0.5,1,0,0,0,10.0,182.0,62.0,871.0,120.0,1692.0,Transit,10.0,62.0,120.0,1
1015.01,0.7496,4897.0,6.79961,906.496,4.5,9.272,9.773,9.121,11.618,9.024,9.105,9.003,10.7069,0,122.895964,-27.971896,1015.01,21.9288943,1.9563682752591895,1061.527150504793,3.3399379302761765,1.3734992,4018.147047952864,3286159159.456392,0.3,2.3,5950.23876,0.5,1,0,0,0,134.0,1.0,1769.0,3.0,3562.0,6.0,Eclipse,1.0,3.0,6.0,2
1017.01,1.5902500000000002,7174.0,1.65429,406.997,4.20497,10.046,10.248,10.013,11.201,9.949,9.962,9.978,10.6019,0,124.726411,-37.78325,1017.01,21.0448,1.8774945291780896,959.888974886154,3.02014846681183,1.10422,2754.6888064297545,3650777243.877266,0.3,2.3,8532.0,0.5,1,0,0,0,1.0,1.0,20.0,1.0,40.0,1.0,Eclipse,1.0,1.0,1.0,3
1019.01,1.778,7645.0,1.56203,399.544,4.30354,10.083,10.178,10.017,10.891,9.986,9.998,9.373,10.6348,0,120.147994,-54.878552,1019.01,24.087882,2.1489805878168187,1309.730957509409,4.1208744414708764,5.2340964,1666.8163939359454,10692145441.641687,0.3,2.3,13287.25692,0.5,1,0,0,0,2.0,1.0,23.0,1.0,46.0,1.0,Eclipse,1.0,1.0,1.0,3
1021.01,1.354,6544.0,1.13944,235.974,4.45502,9.851,10.035,9.751,10.898,9.722,9.757,9.645,10.5551,0,119.30075,-42.999149,1021.01,3.34688,0.298589147429083,11.296362119129368,0.0355423300269556,1.90879,1784.8483150982197,4983924441.466068,0.3,2.3,6872.400000000001,0.5,1,0,0,0,7.0,44.0,94.0,350.0,186.0,699.0,Transit,7.0,94.0,186.0,1
1018.01,1.02225,5889.0,2.00193,360.541,3.86456,9.673,9.98,9.591,11.12,9.526,9.549,9.422,10.6254,0,111.716019,-50.266567,1018.01,22.9123,2.04410200623846,1174.5824673878114,3.695649737456449,4.95912,1622.954679966433,8576601772.199351,0.3,2.3,9032.4,0.5,1,0,0,0,6.0,1.0,73.0,1.0,145.0,2.0,Eclipse,1.0,1.0,2.0,3
1022.01,1.176875,6203.0,1.38126,120.666,4.23379,7.917,8.17,7.834,9.19,7.78,7.848,7.818,8.72924,0,162.96491,-5.788708,1022.01,3.4262,0.3056656160129805,11.799146602944822,0.0371242669255559,3.09574,1622.9223321056054,6565677685.13899,0.3,2.3,16109.999999999998,0.5,1,0,0,0,3.0,15.0,20.0,79.0,39.0,150.0,Transit,3.0,20.0,39.0,2
1028.01,0.7145333333333334,4634.0,0.684487,23.7748,4.63657,6.477,6.959,6.354,8.9,6.281,6.209,6.295,7.9059,0,157.098337,-51.705409,1028.01,1.20704,0.1076850811839086,1.8402069387410047,0.0057899385346251,1.01606,1344.6106637708133,2645332057.5265474,0.3,2.3,10234.8,0.5,1,0,0,0,3.0,46.0,10.0,138.0,19.0,252.0,Transit,3.0,10.0,19.0,2
1027.02,0.66608,4272.0,0.680275,56.3449,4.59877,8.548,9.188,8.432,11.308,8.333,8.397,8.31,10.2103,0,167.133275,-29.653135,1027.02,3.12111,0.2784472625048956,9.902590282955437,0.0311570334101198,11.0285857,601.3122672729776,12668206678.083609,0.1,2.3,11390.4,0.5,1,0,0,0,2.0,375.0,20.0,2100.0,39.0,3626.0,Transit,2.0,20.0,39.0,2
1027.01,0.66608,4272.0,0.680275,56.3449,4.59877,8.548,9.188,8.432,11.308,8.333,8.397,8.31,10.2103,0,167.133275,-29.653135,1027.01,2.69994,0.2408729272366138,7.811116413446461,0.0245765206991329,3.2834447,845.6889419774567,5648351684.403224,0.3,2.3,4982.4,0.5,1,0,0,0,3.0,85.0,33.0,532.0,66.0,1090.0,Transit,3.0,33.0,66.0,1
1040.01,3.09332,10037.0,6.03576,732.432,4.5,8.173,8.166,8.132,8.44,7.887,8.056,8.128,8.3854,0,128.61421,-61.488262,1040.01,11.5901,1.0340012422368936,91.6731009179826,0.2884358320900274,2.55555,4981.25861403647,7973659124.918407,0.3,2.3,5637.6,0.5,1,0,0,0,8.0,6.0,83.0,52.0,165.0,103.0,Eclipse,6.0,52.0,103.0,1
1036.01,0.9768,5771.0,1.17554,184.015,4.31043,9.374,9.687,9.291,10.973,9.296,9.362,9.277,10.2855,0,157.867112,-42.240448,1036.01,6.10966,0.5450682935992839,31.14094859016198,0.097980381690287,3.7795364,1344.386411496355,7048348445.712862,0.3,2.3,11656.8,0.5,1,0,0,0,1.0,5.0,15.0,39.0,29.0,76.0,Transit,1.0,15.0,29.0,2
1047.01,0.8997200000000001,5622.0,0.926801,134.926,4.50409,9.145,9.526,9.036,11.095,8.803,8.822,8.89,10.2355,0,144.581535,-67.505097,1047.01,5.72162,0.5104496240418508,27.9275053172341,0.0878697584538122,0.62627,2146.415403364993,2068886462.3670757,0.3,2.3,2397.6,0.5,1,0,0,0,1.0,1.0,11.0,10.0,23.0,19.0,Eclipse,1.0,10.0,19.0,2
1053.01,0.88802,5577.0,3.48732,263.729,4.5,7.859,8.169,7.763,9.62,7.621,7.707,7.721,8.8849,0,290.977117,-33.351416,1053.01,13.088532,1.1676826211212443,113.75155004035132,0.3579024016736747,5.742625,1977.610326610168,9024178586.124315,0.3,2.3,10297.0548,0.5,1,0,0,0,3.0,1.0,21.0,6.0,42.0,12.0,Eclipse,1.0,6.0,12.0,2
1060.01,0.916854,5687.9,1.13906,128.491,4.3293,8.789,9.102,8.735,10.342,8.671,8.683,8.615,9.6652,0,299.290995,-48.934476,1060.01,2.8451407,0.2538268883045655,8.564958732102596,0.0269483738847341,2.068559,1611.4643599263209,4617481141.769939,0.3,2.3,3593.63088,0.5,1,0,0,0,9.0,57.0,113.0,477.0,226.0,946.0,Transit,9.0,113.0,226.0,1
1061.01,1.00025,5801.0,1.08183,133.171,4.38679,8.768,9.125,8.703,10.366,8.66,8.679,8.644,9.7345,0,284.688908,-41.242483,1061.01,2.28501,0.2038552884378671,5.95360656961386,0.0187321411367941,0.540933,2468.6029496973106,1943830080.844303,0.3,2.3,6027.6132,0.5,1,0,0,0,4.0,15.0,49.0,125.0,98.0,249.0,Transit,4.0,49.0,98.0,1
