TIC,Star Name,Planet Name,Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star TESS Mag,Star RA,Star Dec,TFOPWG Disposition,Creation Date,Planet Radius [Re],Planet Radius Error Lower [Re],Planet Radius Error Upper [Re],Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hr],Transit Duration Error Lower [hr],Transit Duration Error Upper [hr],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Rp/Rs,TOI Disposition,EXOFOP Disposition,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Public Comment,Sectors,FP_Flag,Known,EB,VS,NASA PC,Assumed Parameters,Star Mass [Ms],Star Metallicity,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Mass Flag,Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Planet Radius [Rjup],Planet Radius Error Upper [Rjup],Planet Radius Error Lower [Rjup],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Transit Duration T14 [s],Eclipse Duration E14 [s],Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Temperature [K],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
65212867,TOI-1007,TOI-1007.01,6596.02,-139.2,139.2,2.70235,-0.13,0.13,3.7132,-0.09,0.09,283.291,-3.0025,3.0025,8.87759,112.752393,-4.463359,PC,24/07/2019 15:58,15.70838171,-0.764705,0.764705,2459247.931,-0.0013,0.0013,0.284,-9.44e-05,9.44e-05,3.953,-0.437,0.437,6.9989206,-1.37e-05,1.37e-05,0.05329165,PC,PC,3,4,3,3,4,4,4,2019-07-24 15:58:33+00,2021-06-11 18:54:01+00,,"[7, 34]",0,0,0,0,True,,1.376,0.154,9.374,8.87759,8.426,8.257,8.193,8.142,8.166,8.16,True,433.34,-196.89,359.57,1.13133374,1.363440117,-0.619485219,1.401410359,0.068222528,-0.068222528,0.07966633,11917913393.0,6.33923169,0,90,0,0,0.2,0.8,2.3,97.2,117.1,53.2,14230.8,14230.8,2669685.901,1961.31116,2459251.43,57,56,1852.459209,4.0,34.0,65.0,1.0,2.0,5.0,Eclipse,1.0,2.0,5.0,0,0,0,2
107782586,TOI-1009,TOI-1009.01,8868.7,-809.8,809.8,2.184184165,,,,,,866.147,-172.097,172.097,8.4331,111.667845,-24.462111,PC,24/07/2019 15:58,9.845017085,,,2459229.231,-0.000389,0.000389,0.170762727,-0.004960122,0.004960122,2.0065257,-0.050591,0.050591,1.9600277,-2.5e-06,2.5e-06,0.041323447,PC,PC,3,4,3,3,4,4,4,2019-07-24 15:58:33+00,2024-01-16 21:07:46+00,no stellar radius; Simbad lists as B3III/IV; planet likely larger; odd-even; hot star with extremely rapid rotation,"[7, 34, 61]",0,0,0,0,True,"Star Radius, Star Mass, ",2.462946154,,8.289,8.4331,8.552,8.578,8.64,8.642,8.689,8.69,True,316.64,-112.27,174.14,0.547905714,0.996260855,-0.353240924,0.878315105,,,0.041395986,6192751378.0,4.075420138,0,90,0,0,0.2,0.8,2.3,48.8,88.7,31.4,7223.49252,7223.49252,21116522.07,15513.46186,2459230.211,268,269,3106.409981,25.0,357.0,715.0,8.0,67.0,134.0,Eclipse,8.0,67.0,134.0,0,0,0,1
341420329,TOI-1019,TOI-1019.01,7645.0,-134.4,134.4,1.56203,-0.0481257,0.0481257,4.30354,-0.08,0.08,399.544,-4.1635,4.1635,10.6348,120.147994,-54.878552,PC,24/07/2019 17:08,24.57082769,-0.7497171,0.7497171,2459232.447,-0.00012,0.00012,2.079694163,-0.005080361,0.005080361,3.7078139,-0.0125204,0.0125204,5.2341008,-1.2e-06,1.2e-06,0.144211448,PC,PC,3,4,3,3,4,4,4,2019-07-24 17:08:12+00,2024-02-15 18:44:10+00,Large for its insolation,"[7, 8, 9, 34, 35, 36, 61, 62, 63]",0,0,0,0,True,,1.79,,10.891,10.6348,10.178,10.083,10.017,9.986,9.998,9.373,True,194.95,-111.74,262.1,0.824658824,0.613381296,-0.351573357,2.19206619,0.066885395,-0.066885395,0.07164355,10717722557.0,9.862593571,0,90,0,0,0.2,0.8,2.3,65.5,48.7,27.9,13348.13004,13348.13004,1990704.636,1462.490856,2459235.064,238,238,1721.341041,1.0,1.0,2.0,1.0,1.0,1.0,Eclipse,1.0,1.0,1.0,0,0,0,3
20318757,TOI-1027,TOI-1027.01,4272.0,-122.7,122.7,0.680275,-0.06,0.06,4.59877,-0.11,0.11,56.3449,-0.13245,0.13245,10.2103,167.133275,-29.653135,PC,24/07/2019 18:44,2.928862051,-0.314177,0.314177,2460037.869,-0.001406,0.001406,0.1558,-0.018542,0.018542,1.537,-0.709,0.709,3.2834565,-4.6e-06,4.6e-06,0.039471509,PC,PC,2,4,1,1,4,4,4,2019-07-24 18:44:12+00,2023-05-05 14:21:23+00,TOI 1027.01; potential multi; variable host,"[9, 36, 63]",0,0,0,0,True,,0.67,,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,True,7.54,-4.62,12.05,0.03791354,0.023723493,-0.014536146,0.26129602,0.028029043,-0.028029043,0.037831595,5659525999.0,11.95841291,0,90,0,0,0.2,0.8,2.3,6.8,4.2,2.6,5533.2,5533.2,131842.2216,96.85919251,2460039.511,115,114,873.5333167,4.0,41.0,82.0,47.0,287.0,599.0,Transit,4.0,41.0,82.0,0,0,0,1
20318757,TOI-1027,TOI-1027.02,4272.0,-122.7,122.7,0.680275,-0.06,0.06,4.59877,-0.11,0.11,56.3449,-0.13245,0.13245,10.2103,167.133275,-29.653135,PC,03/06/2021 22:37,3.054020116,-0.268927,0.268927,2460032.533,-0.002913,0.002913,0.1694,-0.0104432,0.0104432,2.715,-0.404,0.404,11.02875,-3.54e-05,3.54e-05,0.041158231,PC,PC,2,4,1,1,4,4,4,2021-06-03 22:37:59+00,2023-05-05 16:56:45+00,TOI 1027.02,"[9, 36, 63]",0,0,0,0,True,,0.67,,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,True,8.34,-5.05,12.76,0.04014745,0.026240575,-0.015889077,0.272461894,0.023992101,-0.023992101,0.084849989,12693377718.0,26.82073587,0,90,0,0,0.2,0.8,2.3,4.8,3.1,1.9,9774.0,9774.0,26209.5898,19.25513446,2460038.048,35,33,583.2851256,5.0,46.0,92.0,579.0,3444.0,5931.0,Transit,5.0,46.0,92.0,0,0,0,1
20318757,TOI-1027,TOI-1027.03,4272.0,-122.7,122.7,0.680275,-0.06,0.06,4.59877,-0.11,0.11,56.3449,-0.13245,0.13245,10.2103,167.133275,-29.653135,PC,18/05/2023 23:08,2.581118095,-0.302798,0.302798,2460032.573,-0.002567,0.002567,0.121,-0.0182035,0.0182035,1.024,-0.471,0.471,5.0113292,-1.2e-05,1.2e-05,0.034785054,PC,PC,2,4,1,1,4,4,4,2023-05-18 23:08:27+00,2023-05-18 19:08:07+00,L1 multi candidate,"[9, 36, 63]",0,0,0,0,True,,0.67,,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,True,5.57,-3.6,10.18,0.032029862,0.01752518,-0.011326867,0.230272329,0.027013875,-0.027013875,0.050149647,7502280363.0,15.85209898,0,90,0,0,0.2,0.8,2.3,5.0,2.7,1.7,3686.4,3686.4,75028.80881,55.12065671,2460035.079,75,76,758.7048468,10.0,123.0,248.0,291.0,1903.0,3767.0,Transit,10.0,123.0,248.0,0,0,0,1
146589986,TOI-1032,TOI-1032.01,10395.0,-320.6,320.6,2.33837,-0.109357,0.109357,4.12838,-0.07,0.07,587.196,-18.7865,18.7865,9.7611,159.221506,-42.541639,PC,24/07/2019 18:44,15.07197062,-0.7471176,0.7471176,2459283.829,-0.000897,0.000897,0.34918233,-0.009525267,0.009525267,3.8087395,-0.0887935,0.0887935,5.6643704,-1.09e-05,1.09e-05,0.059091652,PC,PC,3,4,3,3,4,4,4,2019-07-24 18:44:12+00,2024-01-16 20:30:45+00,two stars in pixel; near neighbor is TIC 146589990,"[36, 63]",0,0,0,0,True,,2.68,,9.762,9.7611,9.372,9.395,9.366,9.363,9.408,9.424,True,474.97,-207.86,369.66,1.163080431,1.494422746,-0.654000699,1.344633467,0.066653482,-0.066653482,0.086392035,12924064474.0,7.944450839,0,90,0,0,0.2,0.8,2.3,68.7,88.3,38.7,13711.4622,13711.4622,10488912.44,7705.783302,2459286.661,83,85,2607.819659,3.0,38.0,76.0,1.0,6.0,12.0,Eclipse,1.0,6.0,12.0,0,0,0,2
146172354,TOI-1036,TOI-1036.01,5771.0,-132.3,132.3,1.17554,-0.06,0.06,4.31043,-0.08,0.08,184.015,-0.962,0.962,10.2855,157.867112,-42.240448,PC,24/07/2019 18:44,6.737539029,-0.311897,0.311897,2460037.172,-0.001095,0.001095,0.2761,-0.00602474,0.00602474,2.952,-0.158,0.158,3.7795212,-4e-06,4e-06,0.052545219,PC,PC,3,4,3,3,4,4,4,2019-07-24 18:44:12+00,2023-05-05 16:12:26+00,multiple stars in pixel,"[9, 36, 63]",0,0,0,0,True,,1.03,,10.973,10.2855,9.687,9.374,9.291,9.296,9.362,9.277,True,58.42,-22.62,36.9,0.116100384,0.183809876,-0.071170479,0.601084005,0.027825634,-0.027825634,0.047957171,7174290677.0,8.77242278,0,90,0,0,0.2,0.8,2.3,14.9,23.5,9.1,10627.2,10627.2,816715.6753,600.0082513,2460039.062,129,130,1377.768653,1.0,12.0,24.0,3.0,26.0,51.0,Transit,1.0,12.0,24.0,0,0,0,2
31553893,TOI-1058,TOI-1058.01,5846.0,-189.0,189.0,3.44756,-0.174417,0.174417,3.38835,-2.00356,2.00356,338.831,-6.705,6.705,9.3781,288.911772,-31.790813,PC,16/08/2019 20:20,11.70354475,-0.8953745,0.8953745,2458663.024,-0.005969,0.005969,0.096861193,-0.007567997,0.007567997,7.1068241,-0.3739165,0.3739165,11.1296402,-0.0002401,0.0002401,0.031122531,PC,PC,3,4,3,3,4,4,4,2019-08-16 20:20:41+00,2021-07-01 17:56:40+00,Centroid offset and a single transit in Y3,"[13, 27]",0,0,0,0,True,,1.06,,10.09,9.3781,8.706,8.398,8.312,8.235,8.273,8.221,True,672.68,-249.22,395.7,1.245011433,2.116487973,-0.784133812,1.044122122,0.0798801,-0.0798801,0.099506773,14886001310.0,6.206463652,0,90,0,0,0.2,0.8,2.3,109.0,185.3,68.7,25584.56676,25584.56676,1718161.268,1262.264174,2458668.588,32,33,1659.287743,79.0,463.0,879.0,3.0,16.0,29.0,Eclipse,3.0,16.0,29.0,0,0,0,2
327301957,TOI-1074,TOI-1074.01,5065.0,-183.0,183.0,0.741671,-0.0479724,0.0479724,4.62706,-0.280579,0.280579,107.356,-0.408,0.408,10.6339,310.761004,-72.010267,PC,16/08/2019 20:20,2.97404829,-0.6062083,0.6062083,2458662.651,-0.003194,0.003194,0.135148764,-0.011007788,0.011007788,3.7732511,-0.3662606,0.3662606,13.9427597,-0.0001674,0.0001674,0.036762585,PC,PC,2,4,1,1,4,4,4,2019-08-16 20:20:47+00,2021-07-15 11:49:39+00,,"[13, 27]",0,0,0,0,True,,0.85,,11.217,10.6339,9.808,9.373,9.285,9.235,9.287,9.327,True,7.81,-4.79,12.31,0.038731591,0.024573008,-0.015071025,0.265327273,0.054082375,-0.054082375,0.107393867,16065893896.0,31.13662907,0,90,0,0,0.2,0.8,2.3,3.6,2.4,1.5,13583.70396,13583.70396,38453.67481,28.25037265,2458669.622,43,43,641.8427728,9.0,102.0,203.0,990.0,6242.0,11439.0,Transit,9.0,102.0,203.0,0,0,0,1
