TIC,Star Name,Planet Name,Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star TESS Mag,Star RA,Star Dec,TFOPWG Disposition,Creation Date,Planet Radius [Re],Planet Radius Error Lower [Re],Planet Radius Error Upper [Re],Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hr],Transit Duration Error Lower [hr],Transit Duration Error Upper [hr],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Rp/Rs,TOI Disposition,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Public Comment,Sectors,FP_Flag,Known,EB,VS,NASA PC,Assumed Parameters,Star Mass [Ms],Star Metallicity,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Mass Flag,Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Planet Radius [Rjup],Planet Radius Error Upper [Rjup,Planet Radius Error Lower [Rjup],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Transit Duration T14 [s],Eclipse Duration E14 [s],Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Temperature [K],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
65212867,TOI-1007,TOI-1007.01,6596.02,-139.2,139.2,2.70235,-0.13,0.13,3.7132,-0.09,0.09,283.291,-3.0025,3.0025,8.87759,112.752393,-4.463359,PC,24/07/2019 15:58,15.70838171,-0.764705,0.764705,2459247.931,-0.0013,0.0013,0.284,-9.44E-05,9.44E-05,3.953,-0.437,0.437,6.9989206,-1.37E-05,1.37E-05,0.05329165,PC,3,4,3,3,4,4,4,2019-07-24 15:58:33+00:00,2021-06-11 18:54:01.593000+00:00,,"[7, 34]",0,0,0,0,TRUE,,1.376,0.154,9.374,8.87759,8.426,8.257,8.193,8.142,8.166,8.16,TRUE,433.23,-196.18,358.89,\,1.363094019,-0.617251309,1.401410359,0.068222528,-0.068222528,0.079666291,11917907501,6.339228556,0,90,0,0,0.2,0.8,2.3,97,117.1,53,14230.8,14230.8,2669688.541,1961.3131,2459251.43,57,56,1852.459666,4,34,65,1,2,5,Eclipse,1,2,5,0,0,0,2
107782586,TOI-1009,TOI-1009.01,8868.7,-809.8,809.8,2.184184165,,,,,,866.147,-172.097,172.097,8.4331,111.667845,-24.462111,PC,24/07/2019 15:58,9.845017085,,,2459229.231,-0.000389,0.000389,0.170762727,-0.004960122,0.004960122,2.0065257,-0.050591,0.050591,1.9600277,-2.50E-06,2.50E-06,0.041323447,PC,3,4,3,3,4,4,4,2019-07-24 15:58:33+00:00,2024-01-16 21:07:46.730000+00:00,no stellar radius; Simbad lists as B3III/IV; planet likely larger; odd-even; hot star with extremely rapid rotation,"[7, 34, 61]",0,0,0,0,TRUE,"Star Radius, Star Mass, ",2.462946154,,8.289,8.4331,8.552,8.578,8.64,8.642,8.689,8.69,TRUE,317.16,-112.26,173.94,0.547276443,0.997896958,-0.35320946,0.878315105,,,0.041395983,6192750875,4.075419807,0,90,0,0,0.2,0.8,2.3,48.7,88.9,31.5,7223.49252,7223.49252,21116525.5,15513.46438,2459230.211,268,269,3106.410107,24,356,714,8,67,134,Eclipse,8,67,134,0,0,0,1
341420329,TOI-1019,TOI-1019.01,7645,-134.4,134.4,1.56203,-0.0481257,0.0481257,4.30354,-0.08,0.08,399.544,-4.1635,4.1635,10.6348,120.147994,-54.878552,PC,24/07/2019 17:08,24.57082769,-0.7497171,0.7497171,2459232.447,-0.00012,0.00012,2.079694163,-0.005080361,0.005080361,3.7078139,-0.0125204,0.0125204,5.2341008,-1.20E-06,1.20E-06,0.144211448,PC,3,4,3,3,4,4,4,2019-07-24 17:08:12+00:00,2024-02-15 18:44:10.808000+00:00,Large for its insolation,"[7, 8, 9, 34, 35, 36, 61, 62, 63]",0,0,0,0,TRUE,,1.79,,10.891,10.6348,10.178,10.083,10.017,9.986,9.998,9.373,TRUE,194.99,-111.99,262.21,0.825004923,0.61350715,-0.352359945,2.19206619,0.066885395,-0.066885395,0.071643555,10717723216,9.862594178,0,90,0,0,0.2,0.8,2.3,65.5,48.7,28,13348.13004,13348.13004,1990704.391,1462.490676,2459235.064,238,238,1721.340988,1,1,2,1,1,1,Eclipse,1,1,1,0,0,0,3
20318757,TOI-1027,TOI-1027.01,4272,-122.7,122.7,0.680275,-0.06,0.06,4.59877,-0.11,0.11,56.3449,-0.13245,0.13245,10.2103,167.133275,-29.653135,PC,24/07/2019 18:44,2.928862051,-0.314177,0.314177,2460037.869,-0.001406,0.001406,0.1558,-0.018542,0.018542,1.537,-0.709,0.709,3.2834565,-4.60E-06,4.60E-06,0.039471509,PC,2,4,1,1,4,4,4,2019-07-24 18:44:12+00:00,2023-05-05 14:21:23.746000+00:00,TOI 1027.01; potential multi; variable host,"[9, 36, 63]",0,0,0,0,TRUE,,0.67,,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,TRUE,7.53,-4.64,12.07,0.037976467,0.02369203,-0.014599073,0.26129602,0.028029043,-0.028029043,0.037831596,5659526168,11.95841327,0,90,0,0,0.2,0.8,2.3,6.8,4.2,2.6,5533.2,5533.2,131842.2137,96.85918672,2460039.511,115,114,873.5333036,4,41,82,47,287,599,Transit,4,41,82,0,0,0,1
20318757,TOI-1027,TOI-1027.02,4272,-122.7,122.7,0.680275,-0.06,0.06,4.59877,-0.11,0.11,56.3449,-0.13245,0.13245,10.2103,167.133275,-29.653135,PC,03/06/2021 22:37,3.054020116,-0.268927,0.268927,2460032.533,-0.002913,0.002913,0.1694,-0.0104432,0.0104432,2.715,-0.404,0.404,11.02875,-3.54E-05,3.54E-05,0.041158231,PC,2,4,1,1,4,4,4,2021-06-03 22:37:59.166566+00:00,2023-05-05 16:56:45.093000+00:00,TOI 1027.02,"[9, 36, 63]",0,0,0,0,TRUE,,0.67,,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,TRUE,8.35,-5.05,12.76,0.04014745,0.026272038,-0.015889077,0.272461894,0.023992101,-0.023992101,0.084849989,12693377718,26.82073587,0,90,0,0,0.2,0.8,2.3,4.8,3.1,1.9,9774,9774,26209.5898,19.25513446,2460038.048,35,33,583.2851256,5,46,92,579,3444,5931,Transit,5,46,92,0,0,0,1
20318757,TOI-1027,TOI-1027.03,4272,-122.7,122.7,0.680275,-0.06,0.06,4.59877,-0.11,0.11,56.3449,-0.13245,0.13245,10.2103,167.133275,-29.653135,PC,18/05/2023 23:08,2.581118095,-0.302798,0.302798,2460032.573,-0.002567,0.002567,0.121,-0.0182035,0.0182035,1.024,-0.471,0.471,5.0113292,-1.20E-05,1.20E-05,0.034785054,PC,2,4,1,1,4,4,4,2023-05-18 23:08:27.651357+00:00,2023-05-18 19:08:07.425000+00:00,L1 multi candidate,"[9, 36, 63]",0,0,0,0,TRUE,,0.67,,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,TRUE,5.54,-3.59,10.17,0.031998398,0.017430789,-0.011295403,0.230272329,0.027013875,-0.027013875,0.050149646,7502280251,15.85209875,0,90,0,0,0.2,0.8,2.3,5,2.7,1.7,3686.4,3686.4,75028.81105,55.12065836,2460035.079,75,76,758.7048524,10,123,247,291,1903,3767,Transit,10,123,247,0,0,0,1
146589986,TOI-1032,TOI-1032.01,10395,-320.6,320.6,2.33837,-0.109357,0.109357,4.12838,-0.07,0.07,587.196,-18.7865,18.7865,9.7611,159.221506,-42.541639,PC,24/07/2019 18:44,15.07197062,-0.7471176,0.7471176,2459283.829,-0.000897,0.000897,0.34918233,-0.009525267,0.009525267,3.8087395,-0.0887935,0.0887935,5.6643704,-1.09E-05,1.09E-05,0.059091652,PC,3,4,3,3,4,4,4,2019-07-24 18:44:12+00:00,2024-01-16 20:30:45.811000+00:00,two stars in pixel; near neighbor is TIC 146589990,"[36, 63]",0,0,0,0,TRUE,,2.68,,9.762,9.7611,9.372,9.395,9.366,9.363,9.408,9.424,TRUE,476.77,-207.85,369.42,1.162325306,1.500086179,-0.653969235,1.344633467,0.066653482,-0.066653482,0.086392027,12924063316,7.944450127,0,90,0,0,0.2,0.8,2.3,68.7,88.6,38.6,13711.4622,13711.4622,10488914.32,7705.784683,2459286.661,83,85,2607.819776,3,38,76,1,6,12,Eclipse,1,6,12,0,0,0,2
146172354,TOI-1036,TOI-1036.01,5771,-132.3,132.3,1.17554,-0.06,0.06,4.31043,-0.08,0.08,184.015,-0.962,0.962,10.2855,157.867112,-42.240448,PC,24/07/2019 18:44,6.737539029,-0.311897,0.311897,2460037.172,-0.001095,0.001095,0.2761,-0.00602474,0.00602474,2.952,-0.158,0.158,3.7795212,-4.00E-06,4.00E-06,0.052545219,PC,3,4,3,3,4,4,4,2019-07-24 18:44:12+00:00,2023-05-05 16:12:26.173000+00:00,multiple stars in pixel,"[9, 36, 63]",0,0,0,0,TRUE,,1.03,,10.973,10.2855,9.687,9.374,9.291,9.296,9.362,9.277,TRUE,58.64,-22.6,36.88,0.116037457,0.184502073,-0.071107552,0.601084005,0.027825634,-0.027825634,0.04795717,7174290537,8.77242261,0,90,0,0,0.2,0.8,2.3,14.8,23.6,9.1,10627.2,10627.2,816715.707,600.0082746,2460039.062,129,130,1377.768666,1,12,24,3,26,51,Transit,1,12,24,0,0,0,2
31553893,TOI-1058,TOI-1058.01,5846,-189,189,3.44756,-0.174417,0.174417,3.38835,-2.00356,2.00356,338.831,-6.705,6.705,9.3781,288.911772,-31.790813,PC,16/08/2019 20:20,11.60041708,-0.8162001,0.8162001,2458663.023,-0.004563,0.004563,0.095161698,-0.0060711,0.0060711,7.0473822,-0.3110119,0.3110119,11.1296441,-6.03E-05,6.03E-05,0.03084829,PC,3,4,3,3,4,4,4,2019-08-16 20:20:41+00:00,2024-04-24 15:25:13.006000+00:00,Centroid offset and a single transit in Y3; centroid offset centered near TIC 31553886 Tmag ~13.3 in spoc-s1-s69,"[13, 27, 67]",0,0,0,0,TRUE,,1.06,,10.09,9.3781,8.706,8.398,8.312,8.235,8.273,8.221,TRUE,649.99,-239.3,379.59,1.194323705,2.045097249,-0.752922001,1.034921672,0.072816621,-0.072816621,0.099505284,14885778535,6.20637077,0,90,0,0,0.2,0.8,2.3,104.6,179,65.9,25370.57592,25370.57592,1718212.695,1262.301956,2458668.588,32,33,1659.300159,77,453,860,3,16,30,Eclipse,3,16,30,0,0,0,2
161032923,TOI-1080,TOI-1080.01,3227,-64,64,0.199988,-0.0059812,0.0059812,5.06391,-0.407584,0.407584,25.559,-0.0541,0.0541,12.7067,276.368325,-52.214573,PC,16/08/2019 20:20,1.323436289,-1.0583848,1.0583848,2458654.061,-0.001219,0.001219,0.368075444,-0.045806815,0.045806815,1.0112593,-0.5740471,0.5740471,3.9652485,-1.22E-05,1.22E-05,0.060669222,PC,2,4,1,1,4,4,4,2019-08-16 20:20:43+00:00,2024-04-24 15:21:38.575000+00:00,L1 candidate,"[13, 66]",0,0,0,0,TRUE,,0.168986,,15.349,12.7067,11.044,10.467,10.17,10.015,9.834,9.584,TRUE,1.14,-0.82,2.93,0.009218811,0.003586841,-0.002580009,0.11806928,0.09442293,-0.09442293,0.027106437,4055065259,29.14552665,0,90,0,0,0.2,0.8,2.3,3.9,1.5,1.1,3640.53348,3640.53348,7211.450824,5.297963697,2458656.043,102,103,422.6666814,5,66,132,9704,67255,154841,Transit,5,66,132,1,0,1,1
