TIC ID,Star Name,Star Temperature [K],Star Temperature Error Upper [K],Star Temperature Error Lower [K],Star Radius [Rs],Star Radius Error Upper [Rs],Star Radius Error Lower [Rs],Star Mass [Ms],Star Mass Error Upper [Ms],Star Mass Error Lower [Ms],Star log(g),Star log(g) Error Upper,Star log(g) Error Lower,Star Distance [pc],Star Distance Error Upper [pc],Star Distance Error Lower [pc],Star Metallicity [Fe/H],Star Metallicity Error Upper [Fe/H],Star Metallicity Error Lower [Fe/H],Star TESS Mag,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star RA,Star Dec,TFOPWG Disposition,Comments,TFOP Master,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Imaging Observations,Spectroscopy Observations,Time Series Observations,TESS SNR,Planet Number,Planet Name,Rp/Rs,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rjup],Planet Radius Error Upper [Rjup],Planet Radius Error Lower [Rjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Mass Flag,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Period [days],Planet Period Error Upper [days],Planet Period Error Lower [days],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Planet Temperature [K],Transit Mid Time,Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],Transit Duration [hr],Transit Duration Error Upper [hr],Transit Duration Error Lower [days],Transit Duration T14 [s],Eclipse Duration E14 [s],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Assumed Parameters,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
65212867,TOI-1007,6596.02,139.2,139.2,2.70235,0.13,0.13,1.376,0.229992,0.229992,3.7132,0.09,0.09,283.291,3.0025,3.0025,0.154,0.01,0.01,8.87759,9.374,8.87759,8.426,8.257,8.193,8.142,8.166,8.16,112.752393,-4.463359,PC,,3.0,3.0,3.0,4.0,4.0,4.0,8.0,4.0,1.0,44.0,1.0,TOI-1007b,0.0532916503778969,15.70838171337582,0.764705,0.764705,1.4014103592861065,0.068222527842276,0.068222527842276,359.1,432.94999999999993,-196.65000000000003,1.1298549549032562,1.3622130401708843,-0.6187300943517832,True,97.0,117.0,53.19999999999999,6.9989206,1.37e-05,1.37e-05,0.0796663031672185,11917909320.356558,6.33922952406253,0.0,90,0.0,0.0,2669687.7253614687,1961.3125007938968,1852.459525021112,2459247.930695,0.0013,0.0013,0.284,9.43618e-05,9.43618e-05,3.953,0.437,0.437,14230.8,14230.8,2459251.4301553,57.0,56.0,0.2,0.8,2.3,,4.0,34.0,65.0,1.0,2.0,5.0,Eclipse,1.0,2.0,5.0,0,0,0,2
107782586,TOI-1009,8868.7,809.8,809.8,2.1841841647738462,,,2.462946153846154,,,,,,866.147,172.097,172.097,,,,8.4331,8.289,8.4331,8.552,8.578,8.64,8.642,8.689,8.69,111.667845,-24.462111,PC,no stellar radius; Simbad lists as B3III/IV; planet likely larger; odd-even; hot star with extremely rapid rotation,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.0,37.165833,1.0,TOI-1009b,0.0413234469673912,9.845017085101077,,,0.8783151047737254,,,174.12,317.47,-112.31,0.5478427868219297,0.9988723267422353,-0.3533667780149949,True,48.8,88.89999999999999,31.5,1.9600276739088,2.5492343e-06,2.5492343e-06,0.041395985409078,6192751272.72634,4.075420068592181,0.0,90,0.0,0.0,21116522.78314748,15513.462385297757,3106.410007511728,2459229.230924,0.00038879208,0.00038879208,0.17076272692668,0.0049601223,0.0049601223,2.0065257092509,0.05059105,0.05059105,7223.49255330324,7223.49255330324,2459230.210937837,268.0,269.0,0.2,0.8,2.3,"Star Radius, Star Mass, ",25.0,357.0,715.0,8.0,67.0,134.0,Eclipse,8.0,67.0,134.0,0,0,0,1
341420329,TOI-1019,7645.0,134.4,134.4,1.56203,0.0481257,0.0481257,1.79,0.289153,0.289153,4.30354,0.08,0.08,399.544,4.1635,4.1635,,,,10.6348,10.891,10.6348,10.178,10.083,10.017,9.986,9.998,9.373,120.147994,-54.878552,PC,Large for its insolation,3.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,442.28204,1.0,TOI-1019b,0.1442114476362019,24.57082768745448,0.7497171,0.7497171,2.1920661902500056,0.0668853946666759,0.0668853946666759,262.08,195.2,-111.85,0.82459589691185,0.6141678841467991,-0.3519194561568621,True,65.5,48.7,27.90000000000001,5.2341007583314,1.1918585e-06,1.1918585e-06,0.0716435490041318,10717722380.409237,9.862593408735425,0.0,90,0.0,0.0,1990704.701465071,1462.490904565994,1721.341055545654,2459232.446864,0.000120362376,0.000120362376,2.0796941629329,0.005080361,0.005080361,3.7078139349831,0.012520368,0.012520368,13348.13016593916,13348.13016593916,2459235.063914379,238.0,238.0,0.2,0.8,2.3,,1.0,1.0,2.0,1.0,1.0,1.0,Eclipse,1.0,1.0,1.0,0,0,0,3
20318757,TOI-1027,4272.0,122.7,122.7,0.680275,0.06,0.06,0.67,0.0857226,0.0857226,4.59877,0.11,0.11,56.3449,0.13245,0.13245,,,,10.2103,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,167.133275,-29.653135,PC,TOI 1027.01; potential multi; variable host,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,13.0,23.0,1.0,TOI-1027b,0.0394715087119811,2.92886205073567,0.314177,0.314177,0.2612960197755997,0.0280290427418452,0.0280290427418452,12.07,7.530000000000001,-4.65,0.0379764670166591,0.0236920295472612,-0.0146305361746035,True,6.8,4.2,2.6000000000000005,3.2834565,4.6e-06,4.6e-06,0.0378315957433466,5659526168.387849,11.95841326691199,0.0,90,0.0,0.0,131842.21371024306,96.85918672275749,873.5333036266306,2460037.86905,0.0014061,0.0014061,0.1558,0.018542,0.018542,1.537,0.709,0.709,5533.2,5533.2,2460039.5107782497,115.0,114.0,0.2,0.8,2.3,,4.0,41.0,82.0,47.0,287.0,599.0,Transit,4.0,41.0,82.0,0,0,0,1
20318757,TOI-1027,4272.0,122.7,122.7,0.680275,0.06,0.06,0.67,0.0857226,0.0857226,4.59877,0.11,0.11,56.3449,0.13245,0.13245,,,,10.2103,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,167.133275,-29.653135,PC,TOI 1027.02,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,13.0,17.0,2.0,TOI-1027c,0.0411582312545133,3.0540201155309843,0.268927,0.268927,0.2724618936226175,0.023992101195938,0.023992101195938,12.76,8.340000000000002,-5.06,0.0401474498038583,0.0262405745583212,-0.015920540439461,True,4.8,3.1000000000000005,1.9000000000000004,11.02875,3.54e-05,3.54e-05,0.0848499892287452,12693377717.538223,26.820735867817927,0.0,90,0.0,0.0,26209.589804090192,19.255134462021104,583.2851255861326,2460032.53325,0.0029127,0.0029127,0.1694,0.0104432,0.0104432,2.715,0.404,0.404,9774.0,9774.0,2460038.047625,35.0,33.0,0.2,0.8,2.3,,5.0,46.0,92.0,579.0,3444.0,5931.0,Transit,5.0,46.0,92.0,0,0,0,1
20318757,TOI-1027,4272.0,122.7,122.7,0.680275,0.06,0.06,0.67,0.0857226,0.0857226,4.59877,0.11,0.11,56.3449,0.13245,0.13245,,,,10.2103,11.308,10.2103,9.188,8.548,8.432,8.333,8.397,8.31,167.133275,-29.653135,PC,L1 multi candidate,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,13.0,12.0,3.0,TOI-1027d,0.0347850542618521,2.581118094667485,0.302798,0.302798,0.2302723286465434,0.027013874612544,0.027013874612544,10.18,5.550000000000001,-3.6,0.0320298619908525,0.017462252853559,-0.0113268667158221,True,5.0,2.7,1.7000000000000002,5.0113292,1.2e-05,1.2e-05,0.0501496467007323,7502280362.786837,15.852098983756337,0.0,90,0.0,0.0,75028.80881086666,55.12065671295081,758.7048467729174,2460032.57304,0.0025669,0.0025669,0.121,0.0182035,0.0182035,1.024,0.471,0.471,3686.4,3686.4,2460035.0787046,75.0,76.0,0.2,0.8,2.3,,10.0,123.0,248.0,291.0,1903.0,3767.0,Transit,10.0,123.0,248.0,0,0,0,1
146589986,TOI-1032,10395.0,320.6,320.6,2.33837,0.109357,0.109357,2.68,0.356284,0.356284,4.12838,0.07,0.07,587.196,18.7865,18.7865,,,,9.7611,9.762,9.7611,9.372,9.395,9.366,9.363,9.408,9.424,159.221506,-42.541639,PC,two stars in pixel; near neighbor is TIC 146589990,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,5.0,35.9478,1.0,TOI-1032b,0.0590916516675756,15.071970623107749,0.7471176,0.7471176,1.3446334671186082,0.0666534824114586,0.0666534824114586,369.57,474.92,-207.91,1.1627972589351054,1.4942654279661771,-0.6541580163573821,True,68.7,88.3,38.7,5.6643704401929,1.0884941e-05,1.0884941e-05,0.0863920324583527,12924064101.214851,7.944450609732208,0.0,90,0.0,0.0,10488913.049672564,7705.783747152536,2607.8196963078,2459283.828685,0.00089682103,0.00089682103,0.3491823296802099,0.0095252669999999,0.0095252669999999,3.8087394515707,0.088793464,0.088793464,13711.46202565452,13711.46202565452,2459286.66087022,83.0,85.0,0.2,0.8,2.3,,3.0,38.0,76.0,1.0,6.0,12.0,Eclipse,1.0,6.0,12.0,0,0,0,2
146172354,TOI-1036,5771.0,132.3,132.3,1.17554,0.06,0.06,1.03,0.135665,0.135665,4.31043,0.08,0.08,184.015,0.962,0.962,,,,10.2855,10.973,10.2855,9.687,9.374,9.291,9.296,9.362,9.277,157.867112,-42.240448,PC,multiple stars in pixel,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,37.0,1.0,TOI-1036b,0.0525452186216786,6.73753902916009,0.311897,0.311897,0.601084004950008,0.0278256344164382,0.0278256344164382,37.02,58.66,-22.730000000000004,0.1164779460610374,0.1845650004305903,-0.0715165779029546,True,14.9,23.6,9.2,3.7795212,4e-06,4e-06,0.0479571766623409,7174291513.469943,8.772423803168298,0.0,90,0.0,0.0,816715.4847576994,600.0081112971139,1377.7685727270086,2460037.172273,0.001095,0.001095,0.2761,0.00602474,0.00602474,2.952,0.158,0.158,10627.2,10627.2,2460039.0620336,129.0,130.0,0.2,0.8,2.3,,1.0,12.0,24.0,3.0,26.0,51.0,Transit,1.0,12.0,24.0,0,0,0,2
31553893,TOI-1058,5846.0,189.0,189.0,3.44756,0.174417,0.174417,1.06,0.123241,0.123241,3.38835,2.00356,2.00356,338.831,6.705,6.705,,,,9.3781,10.09,9.3781,8.706,8.398,8.312,8.235,8.273,8.221,288.911772,-31.790813,PC,Centroid offset and a single transit in Y3; centroid offset centered near TIC 31553886 Tmag ~13.3 in spoc-s1-s69,3.0,3.0,4.0,3.0,4.0,4.0,1.0,7.0,2.0,14.629036,1.0,TOI-1058b,0.0308482897567531,11.600417078027768,0.81620014,0.81620014,1.0349216718705436,0.0728166244185922,0.0728166244185922,379.66,648.24,-239.79,1.1945439492580625,2.039591133295702,-0.7544637138297181,True,104.6,178.6,66.1,11.129644103681,6.0299943e-05,6.0299943e-05,0.0995052900950376,14885779521.603434,6.206371181287386,0.0,90,0.0,0.0,1718212.466907326,1262.3017884644073,1659.3001038211175,2458663.023129,0.0045630136,0.0045630136,0.09516169809166,0.0060711002,0.0060711002,7.0473821816517,0.31101194,0.31101194,25370.57585394612,25370.57585394612,2458668.5879510515,32.0,33.0,0.2,0.8,2.3,,77.0,453.0,860.0,3.0,16.0,30.0,Eclipse,3.0,16.0,30.0,0,0,0,2
406976746,TOI-1063,5249.0,187.0,187.0,0.791742,0.0453065,0.0453065,0.9,0.115213,0.115213,4.59514,0.263463,0.263463,61.1201,0.1009,0.1009,,,,9.0689,9.8,9.0689,8.352,7.997,7.858,7.818,7.881,7.816,230.555493,-83.056214,PC,Potential level one candidate; two stars in pixel,1.0,4.0,1.0,3.0,4.0,4.0,3.0,6.0,3.0,16.747915,1.0,TOI-1063b,0.0289811056919793,2.5028182540316712,0.21283108,0.21283108,0.2232868727415571,0.0189875498146366,0.0189875498146366,9.77,5.16,-3.38,0.030739857725995,0.0162351756260117,-0.0106346693054107,True,3.1,1.6,1.1,10.066523777137,2.3710678e-05,2.3710678e-05,0.0880926391018798,13178471233.984789,23.92540762620248,0.0,90,0.0,0.0,75126.85646725979,55.19268839378395,758.8080019528874,2458629.391681,0.001491999,0.001491999,0.083990448712968,0.0047550835,0.0047550835,2.4023189403877,0.15993233,0.15993233,8648.34818539572,8648.34818539572,2458634.424942889,92.0,91.0,0.2,0.8,2.3,,9.0,76.0,149.0,381.0,1978.0,3701.0,Transit,9.0,76.0,149.0,0,0,0,1
