TIC ID,Star Name,Star Temperature [K],Star Temperature Error Upper [K],Star Temperature Error Lower [K],Star Radius [Rs],Star Radius Error Upper [Rs],Star Radius Error Lower [Rs],Star Mass [Ms],Star Mass Error Upper [Ms],Star Mass Error Lower [Ms],Star log(g),Star log(g) Error Upper,Star log(g) Error Lower,Star Distance [pc],Star Distance Error Upper [pc],Star Distance Error Lower [pc],Star Metallicity [Fe/H],Star Metallicity Error Upper [Fe/H],Star Metallicity Error Lower [Fe/H],Star TESS Mag,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star RA,Star Dec,TFOPWG Disposition,Comments,TFOP Master,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Imaging Observations,Spectroscopy Observations,Time Series Observations,TESS SNR,Planet Number,Planet Name,Rp/Rs,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rjup],Planet Radius Error Upper [Rjup],Planet Radius Error Lower [Rjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Mass Flag,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Period [days],Planet Period Error Upper [days],Planet Period Error Lower [days],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Planet Temperature [K],Transit Mid Time,Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],Transit Duration [hr],Transit Duration Error Upper [hr],Transit Duration Error Lower [days],Transit Duration T14 [s],Eclipse Duration E14 [s],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,In PLATO FOV,Assumed Parameters,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
265612438,TOI-145,5507.0,64.5,64.5,1.585,0.08,0.08,0.97,0.117664,0.117664,4.02478,2.0,2.0,438.421,8.695,8.695,,,,11.6789,12.342,11.6789,11.041,10.709,10.61,10.563,10.64,10.665,333.174716,-55.978803,PC,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.,3.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,10.0,22.0,1.0,TOI-145b,0.0581033561853358,10.045259601377982,0.524885,0.524885,0.896179576225996,0.0468271837198567,0.0468271837198567,191.42,347.08000000000004,-123.39,0.6022746740951859,1.0920358054798722,-0.3882283566848029,True,72.4,131.4,46.69999999999999,5.13002,3e-05,3e-05,0.0576355060020039,8622148974.616854,7.819234762633242,0.0,90,0.0,0.0,852299.7947568445,626.1504767020411,1392.572941780225,2459060.6424,0.00377,0.00377,0.3376,0.000201525,0.000201525,4.78,0.69,0.69,17208.0,17208.0,2459063.20741,95.0,93.0,0.2,0.8,2.3,False,,15.0,206.0,412.0,4.0,31.0,66.0,Eclipse,4.0,31.0,66.0,yellow,green,green,1
260985861,TOI-149,5095.6,1212.6,1212.6,0.83413929916,,,0.77608,,,,,,380.81,9.2885,9.2885,,,,10.8727,10.727,10.8727,9.665,9.419,9.346,9.255,9.269,9.224,76.635176,-80.768009,PC,multiple stars in pixel; no stellar radius,3.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,117.076,1.0,TOI-149b,0.0952579591595138,8.667034689570778,,,0.7732223738817123,,,94.95,171.24,-61.09,0.2987461096298083,0.538781293449272,-0.1922106354637702,True,48.1,86.70000000000002,30.9,3.3399431764227,1.3291042e-06,1.3291042e-06,0.0401897943582364,6012307659.863039,10.36049749185826,0.0,90,0.0,0.0,355787.8760275531,261.3830832178199,1119.4121751468608,2458597.939863,0.0002238981,0.0002238981,0.90740787832356,0.007709109,0.007709109,4.2534704091359,0.029700065,0.029700065,15312.49347288924,15312.49347288924,2458599.609834588,372.0,373.0,0.2,0.8,2.3,False,"Star Radius, Star Mass, ",4.0,58.0,116.0,8.0,51.0,108.0,Eclipse,8.0,51.0,108.0,orange,orange,orange,1
129637892,TOI-155,6540.0,151.8,151.8,1.79013,0.08,0.08,1.35,0.213853,0.213853,4.06263,0.36,0.36,187.131,1.351,1.351,,,,9.0284,9.557,9.0284,8.534,8.337,8.281,8.242,8.286,8.273,321.11498,-37.850181,PC,,3.0,3.0,3.0,4.0,4.0,4.0,4.0,11.0,6.0,26.0,1.0,TOI-155b,0.0311929479209644,6.090762569765863,0.246683,0.246683,0.5433823748982215,0.02200762102473,0.02200762102473,32.23,46.71,-19.099999999999994,0.1014069206252629,0.1469660956377919,-0.0600953206311673,True,9.6,13.9,5.700000000000001,5.4499753,7.9e-06,7.9e-06,0.066986256424391,10021001327.253092,8.046454234740981,0.0,90,0.0,0.0,1601408.6682410843,1176.4907221408002,1630.2735321226037,2460168.813769,0.0018141,0.0018141,0.0973,0.00239056,0.00239056,4.319,0.361,0.361,15548.4,15548.4,2460171.53875665,70.0,69.0,0.2,0.8,2.3,False,,2.0,18.0,35.0,6.0,34.0,65.0,Transit,2.0,18.0,35.0,green,green,green,2
348770361,TOI-161,5388.0,,,0.9849,,,0.925196849756466,,,,,,333.651,,,,,,11.4964,12.492,11.4964,10.837,10.56,10.517,10.481,10.504,10.381,46.686553,-82.316371,PC,,3.0,4.0,3.0,3.0,4.0,4.0,5.0,0.0,9.0,45.0,1.0,TOI-161b,0.0568691226522424,6.109411033828985,,,0.5450460822870341,,,32.39,47.150000000000006,-19.21,0.1019103369237439,0.1483504904586146,-0.060441419336373,True,15.5,22.700000000000003,9.2,2.7684331,5.5e-06,5.5e-06,0.0375996388572944,5624825912.140234,8.209088634295986,0.0,90,0.0,0.0,708529.3208604659,520.5280756177154,1329.7350515251876,2459388.787312,0.0011539,0.0011539,0.32340971112358,0.0054286329999999,0.0054286329999999,4.223,0.117,0.117,15202.8,15202.8,2459390.17152855,450.0,450.0,0.2,0.8,2.3,False,"Star Mass, ",2.0,34.0,69.0,11.0,78.0,163.0,Transit,2.0,34.0,69.0,orange,green,green,1
147203645,TOI-166,5399.0,152.9,152.9,1.00217,0.0537965,0.0537965,0.94,0.118538,0.118538,4.40931,0.36,0.36,172.157,0.9805,0.9805,,,,10.7258,11.328,10.7258,10.062,9.697,9.609,9.576,9.638,9.562,323.196086,-44.018036,PC,,3.0,4.0,3.0,3.0,4.0,4.0,4.0,0.0,12.0,39.23764,1.0,TOI-166b,0.072636319635283,7.940098833554486,1.1914712,1.1914712,0.7083693891665342,0.1062961234924187,0.1062961234924187,62.57,110.15,-39.8,0.1968672362247193,0.3465706579855017,-0.1252248042471445,True,24.3,42.7,15.400000000000002,5.0611314751549,3.9168817e-06,3.9168817e-06,0.0565159482102204,8454665512.84046,12.12643181636722,0.0,90,0.0,0.0,327360.93270752585,240.4989480572628,1096.3060607556909,2459065.316593,0.0005116646,0.0005116646,0.5276034930159,0.0262575319999999,0.0262575319999999,1.5562414194691,0.055441506,0.055441506,5602.46911008876,5602.46911008876,2459067.847158738,78.0,81.0,0.2,0.8,2.3,False,,2.0,26.0,53.0,6.0,48.0,94.0,Transit,2.0,26.0,53.0,green,green,green,1
149990841,TOI-167,5766.0,158.9,158.9,1.03269205918,,,0.9728,,,,,,310.951,158.505,158.505,,,,11.6349,12.319,11.6349,10.987,10.649,10.541,10.534,10.579,10.544,90.662482,-64.819484,PC,no stellar radius; Gaia DR2 Teff + plx indicate sun-like star,3.0,3.0,5.0,3.0,4.0,4.0,9.0,1.0,5.0,88.0,1.0,TOI-167b,0.0768765243751302,8.659548665554347,,,0.7725545144040198,,,94.71,170.76000000000005,-60.89999999999999,0.2979909851820868,0.5372710445538291,-0.1916128286093241,True,37.5,67.6,24.1,4.4531846,2.7e-06,2.7e-06,0.052492633344841,7852786175.824039,10.930271037358091,0.0,90,0.0,0.0,524253.82796978427,385.148261580658,1233.2302657934845,2459387.893848,0.0003729,0.0003729,0.591,0.00010276,0.00010276,1.687,0.13,0.13,6073.2,6073.2,2459390.1204403,279.0,280.0,0.2,0.8,2.3,True,"Star Radius, Star Mass, ",6.0,89.0,178.0,9.0,74.0,142.0,Eclipse,9.0,74.0,142.0,yellow,green,green,1
394698182,TOI-170,5973.0,131.5,131.5,1.22084,0.06,0.06,1.1,0.144306,0.144306,4.30614,0.08,0.08,428.915,5.21,5.21,,,,11.9692,12.557,11.9692,11.386,11.103,11.029,10.999,11.03,10.993,54.989595,-83.088518,PC,,3.0,5.0,3.0,3.0,4.0,4.0,1.0,8.0,8.0,156.0,1.0,TOI-170b,0.1108151614175605,14.756678409612675,0.66669,0.66669,1.3165049315217172,0.0594782002042186,0.0594782002042186,374.23,496.99,-213.25000000000003,1.177459258628364,1.563705413637898,-0.6709595353191851,True,145.0,192.7,82.69999999999999,3.7115129,2.2e-06,2.2e-06,0.0484447933023031,7247237924.526165,8.53280391763732,0.0,90,0.0,0.0,990653.3652465496,727.7932961048937,1445.8779479126854,2459387.008657,0.0003683,0.0003683,1.228,9.58993e-05,9.58993e-05,2.685,0.064,0.064,9666.0,9666.0,2459388.86441345,335.0,336.0,0.2,0.8,2.3,False,,5.0,69.0,137.0,1.0,7.0,14.0,Eclipse,1.0,7.0,14.0,yellow,green,green,2
309257814,TOI-171,5196.0,183.0,183.0,1.10723,0.0651181,0.0651181,0.88,0.109325,0.109325,4.29407,0.42297,0.42297,256.345,1.463,1.463,,,,11.6626,12.145,11.6626,10.745,10.334,10.187,9.891,9.893,9.759,124.269428,-63.213403,PC,,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,22.0,64.7628,1.0,TOI-171b,0.1103065316191339,13.322009922851246,0.7835738,0.7835738,1.1885121620452292,0.0699058923205393,0.0699058923205393,403.02,608.34,-242.75,1.268042728836286,1.9140516938620071,-0.7637769153516162,True,261.3,394.5,157.39999999999998,1.2386010346057,1.3787512e-06,1.3787512e-06,0.0216395665078115,3237233072.439648,4.2025619193400745,0.0,90,0.0,0.0,2337996.0885408684,1717.631958112842,1792.2437893565514,2458570.408133,0.00017813277,0.00017813277,1.2167530917843,0.025457571,0.025457571,1.9048913439245,0.03809019,0.03809019,6857.608838128201,6857.608838128201,2458571.0274335174,1006.0,1006.0,0.2,0.8,2.3,True,,3.0,44.0,88.0,1.0,1.0,3.0,Eclipse,1.0,1.0,3.0,green,green,green,3
270341214,TOI-173,6680.0,197.0,197.0,1.46863,0.0610553,0.0610553,1.41,0.233008,0.233008,4.25346,0.320295,0.320295,152.023,0.6405,0.6405,,,,8.8784,9.32,8.8784,8.454,8.231,8.242,8.177,8.202,8.17,33.458853,-80.582711,PC,unrelated longer duration partial transit at end of s13; potential multi,3.0,4.0,3.0,3.0,4.0,4.0,3.0,29.0,22.0,128.69139,1.0,TOI-173b,0.0796920945937889,12.76610218630866,0.5028346,0.5028346,1.1389173103913062,0.0448599754134728,0.0448599754134728,416.04,657.1500000000001,-255.05,1.309008230125176,2.067625128417362,-0.8024770432973418,True,68.3,107.8,41.8,29.753745141383,1.0696793e-05,1.0696793e-05,0.2107803310216407,31532288706.27861,30.86178884575081,0.0,90,0.0,0.0,118488.67188200868,87.04887510136956,850.2583720219063,2458333.410136,0.00037007008,0.00037007008,0.6350829940745399,0.0047828358,0.0047828358,8.0780445040627,0.031075664,0.031075664,29080.96021462572,29080.96021462572,2458348.2870085705,40.0,42.0,0.2,0.8,2.3,False,,6.0,32.0,60.0,3.0,12.0,23.0,Eclipse,3.0,12.0,23.0,green,green,green,2
141608198,TOI-210,3264.0,,,0.330146,0.00996591,0.00996591,0.311261,0.0202744,0.0202744,4.89378,,,42.8091,0.09895,0.09895,,,,12.5395,15.366,12.5395,10.873,10.258,9.995,9.817,9.68,9.538,88.96184,-73.985288,PC,,1.0,5.0,1.0,3.0,4.0,4.0,1.0,0.0,3.0,37.48086,1.0,TOI-210b,0.0642267179605777,2.3128765282998733,0.2008962,0.2008962,0.2063413778485623,0.0179227893081743,0.0179227893081743,8.77,4.32,-2.89,0.0275935058604888,0.0135922400589865,-0.0090929568913127,True,5.9,2.9000000000000004,1.9,9.0105413669537,9.414113e-06,9.414113e-06,0.0574322007444742,8591734940.988304,37.406995483779696,0.0,90,0.0,0.0,4582.661835447908,3.366697857352634,377.36249845325386,2459338.99312,0.004372806,0.004372806,0.4125071299987599,0.0102422775,0.0102422775,1.8443264188546,0.11363892,0.11363892,6639.57510787656,6639.57510787656,2459343.498390684,137.0,138.0,0.2,0.8,2.3,True,,8.0,103.0,205.0,17972.0,132451.0,322709.0,Transit,8.0,103.0,205.0,orange,green,green,1
