Star Name,Planet Name,FGS1_Signal,FGS2_Signal,Ch0_E1,Ch0_T1,Ch1_E1,Ch1_T1,Ch0_E2,Ch0_T2,Ch1_E2,Ch1_T2,Ch0_E3,Ch0_T3,Ch1_E3,Ch1_T3,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s]
3958932 b,3958932 b,25602.165007902015,46505.55360863371,2127.411988011315,1.5911872441431971,66.34560321370186,4.4516481965855315,43138.19399128794,26.395846741596966,499.733852309266,41.91235909377503,83630.48404142377,51.78304527717978,1004.673997174752,83.22799721536317,1.5911872441431971,26.395846741596966,51.78304527717978,66.34560321370186,499.733852309266,1004.673997174752,Transit,2.0,26.0,52.0,0,0,0,0.841307100923,-0.0996452,0.0996452,5136.233333333334,-5093.495,5863.92,0.8220415333333334,-0.6015001,0.7972233,274.6148246091115,-26.7093791146287,26.7093791146287,4.48713,-2.0035,2.0035,1816.0,0.0,11.487,10.978,13.226,12.6933,0.0,12.18,,,,,,,,,12.5272703212,-6.74703803595,10.715818157476194,0.0,0.0,0.9765341288392504,0.0,0.0,80.54133048790496,0.0,0.0,0.2534208775941878,0.0,0.0,1.0,11.822694069662314,,,701.2660369967276,14344776931.14091,0.0959516851581331,0.3,2.3,14458.132480348508,0.0959755287805806,1.0,89.7808273814162,0.0,0.0,0.1265155888463898,0.0,0.0,0.0,0.0,0.0,0.0,8495.018007123377,,,1.0,8500.929354158208,14458.132480348508
40081742 b,40081742 b,31039.340795142853,56382.01769570629,142.7494054315111,0.7677710808224543,9.168578262066227,2.0202757102480113,2411.350479271841,12.699271892340139,59.64819398745048,19.208437218452257,4904.3151407425885,24.91662616345241,123.37653441993228,38.17759857741974,1.0,12.699271892340139,24.91662616345241,9.168578262066227,59.64819398745048,123.37653441993228,Transit,1.0,13.0,25.0,0,0,0,0.8344499109745,-0.0986258,0.0986258,5053.666666666667,-5066.25,5819.295,0.8472980333333334,-0.6363249,0.8395497,257.0682871535245,-20.48338063826659,20.48338063826659,4.49106,-2.00349,2.00349,1789.0,0.0,11.394,10.888,12.994,12.6183,0.0,12.097,,,,,,,,,6.989876368200001,-11.8787315502,12.565060922317,0.0,0.0,1.1450559015903303,0.0,0.0,105.55836172707396,0.0,0.0,0.3321362150864519,0.0,0.0,1.0,6.995948493276504,,,835.5354279834633,10083140210.739813,0.067445753917992,0.3,2.3,12241.353165171684,0.3265592565675769,1.0,88.90641253818012,0.0,0.0,0.0431514021950079,0.0,0.0,0.0,0.0,0.0,0.0,8490.66485611163,,,1.0,8494.16283035827,12241.353165171684
10506521 b,10506521 b,1591541.9323359756,2361850.724834916,51.867582020199464,1.0213455128488176,9.139927252950866,1.3837548475516224,540.0200829278007,11.55045051500714,63.44968371199813,11.382018199007257,1080.4112510239358,22.373850791631913,124.24224471490768,22.40010407914059,1.0213455128488176,11.382018199007257,22.373850791631913,9.139927252950866,63.44968371199813,124.24224471490768,Transit,1.0,11.0,22.0,0,0,0,1.42576,-0.325808,0.325808,6462.583333333333,-5773.8,6108.05,1.094029,-1.073193,1.201046,73.4711612645877,-25.510939630030386,25.510939630030386,4.5265,-0.321878,0.321878,248.0,0.0,7.722,7.404,8.795,8.61304,0.0,8.235,,,,,,,,,28.6228093623,64.7931556695,4.034581522442444,0.0,0.0,0.3676720241375579,0.0,0.0,15.655485353878808,0.0,0.0,0.0492595145065143,0.0,0.0,1.0,3.759818246067273,,,1365.776520437891,7968159570.453399,0.0532987262237685,0.3,2.3,8059.337587441858,0.6355090946750762,1.0,86.52076085152076,0.0,0.0,0.1045417727059263,0.0,0.0,0.0,0.0,0.0,0.0,8486.856692362577,,,1.0,8488.73660148561,8059.337587441858
11652749 b,11652749 b,115583.50133658534,184908.76549041687,3.4209604224624557,2.6636215290322087,0.9316093856548342,5.156767401653433,44.38260516531905,40.22267574718949,7.106343501486672,49.29934719467111,88.91790573212558,78.75897468034161,13.925739948744347,98.06681918311659,2.6636215290322087,40.22267574718949,78.75897468034161,1.0,7.106343501486672,13.925739948744347,Eclipse,1.0,7.0,14.0,0,0,0,1.06017,-0.126146,0.126146,5922.1776666666665,-5894.0,6335.6,1.784423,-1.23908,1.431708,374.8500972914732,-28.439047065572797,28.439047065572797,4.21606,-0.418947,0.418947,3122.0,0.0,10.857,10.549,12.002,11.7282,0.0,11.359000000000002,,,,,,,,,22.2440028073,-28.2453273188,15.369936622333816,0.0,0.0,1.4006646482082752,0.0,0.0,307.489382907089,0.0,0.0,0.9675061089152456,0.0,0.0,1.0,6.365991638076848,,,1408.9691658975196,10254957368.235489,0.068595032563448,0.3,2.3,22893.776479664844,0.0565959316288294,1.0,89.60755633368332,0.0,0.0,0.2798686948325695,0.0,0.0,0.0,0.0,0.0,0.0,8490.350315744057,,,1.0,8493.533311563097,22893.776479664844
80260761 b,80260761 b,78074.08460400162,134459.6527923304,79013.20852123311,23.32206801198843,2850.5642555448962,48.39410973571651,1528531.0942020123,368.67591374088113,24089.19244507808,470.3825187663646,2941578.6912495582,722.8008262303898,47856.90764784937,936.5500492684845,23.32206801198843,368.67591374088113,722.8008262303898,2850.5642555448962,24089.19244507808,47856.90764784937,Transit,23.0,369.0,723.0,0,0,0,0.850942,-0.10118,0.10118,5417.01,-5260.7,5482.0,0.992239,-1.040162,1.129516,213.89777210567965,-37.07140635468247,37.07140635468247,4.5,-0.12,0.12,3103.0,0.0,10.319,9.923,11.989,11.424,0.0,10.954,0.21,-0.1,0.1,,,,,,7.307011826519999,-43.1290091276,3.0009495368588888,0.0,0.0,0.2734769850142035,0.0,0.0,9.351881436449318,0.0,0.0,0.0294254140877109,0.0,0.0,1.0,13.66701694470892,,,772.7677155693714,15860387300.169325,0.1060895471583232,0.3,2.3,15653.715876301414,0.3749531294728279,1.0,89.06518963808401,0.0,0.0,0.0297629178576768,0.0,0.0,0.0,0.0,0.0,0.0,8490.137731031515,,,1.0,8496.97123950387,15653.715876301414
11569594 b,11569594 b,250225.9955773295,438225.8154124685,92.28456078656681,2.170611993894493,14.652816038260436,3.5422414385896452,1256.891059452647,32.24190545370267,113.25330376265453,34.60591273567208,2549.7992177706556,63.09829386553236,226.36374029997384,68.87512875791546,2.170611993894493,32.24190545370267,63.09829386553236,14.652816038260436,113.25330376265453,226.36374029997384,Transit,2.0,32.0,63.0,0,0,0,0.925916,-0.116803,0.116803,5284.3223333333335,-5049.9,5772.25,1.1560692,-0.6852363,0.8952928,134.01139002262093,-18.34785629361418,18.34785629361418,4.5274,-0.293309,0.293309,3116.0,0.0,9.935,9.441,11.29,11.1254,0.0,10.619000000000002,,,,,,,,,19.9661102341,-28.8085214414,5.202170634186075,0.0,0.0,0.4740745964211567,0.0,0.0,23.81631674575676,0.0,0.0,0.0749373253981345,0.0,0.0,1.0,4.128944256120628,,,1195.7178209904323,7344820544.644729,0.0491292344123393,0.3,2.3,8683.593416049001,0.7727417554494419,1.0,85.14732588824488,0.0,0.0,0.1566087137414795,0.0,0.0,0.0,0.0,0.0,0.0,8487.445273235906,,,1.0,8489.509745363966,8683.593416049001
11568274 b,11568274 b,156858.62228755918,247646.33533941646,29.066969172750138,3.053750732632852,10.80633294945048,5.736860810489789,393.7323130187176,48.19367466830506,88.00176107704131,56.457542341115534,786.2801686745058,94.49711297704404,173.84933980760067,112.48151232609985,3.053750732632852,48.19367466830506,94.49711297704404,10.80633294945048,88.00176107704131,173.84933980760067,Transit,3.0,48.0,94.0,0,0,0,1.3384927385849998,-0.27802,0.27802,6041.877666666667,-4284.45,6938.0,1.48562,,,275.8497086346365,-5.065720219536288,5.065720219536288,4.22123,-2.01076,2.01076,3118.0,0.0,9.806,9.579,10.599,10.5199,0.0,10.219,,,,,,,,,19.8664031855,-27.5662292796,6.531094228856517,0.0,0.0,0.595179604526396,0.0,0.0,34.951655384040805,0.0,0.0,0.1099743340113233,0.0,0.0,1.0,3.0485695499570684,,,1612.5512057807694,6784232524.212471,0.0453794817673075,0.3,2.3,11380.68253787852,0.5410207166581332,1.0,85.27351430088926,0.0,0.0,0.0203921988809664,0.0,0.0,0.0,0.0,0.0,0.0,8485.235625503585,,,1.0,8486.759910278563,11380.68253787852
80262344 b,80262344 b,15021.879889146616,63850.52023228209,16855142.507041987,11.655213650827456,41753.10661307114,17.925957907613576,461673994.7777277,210.32597319139842,425922.6335853036,178.07156244060891,917863470.7908027,415.5823350828735,759451.7779033572,354.9827985026517,11.655213650827456,178.07156244060891,354.9827985026517,41753.10661307114,425922.6335853036,759451.7779033572,Transit,12.0,178.0,355.0,1,0,1,0.416,-0.08,0.08,3522.0,-65.0,65.0,0.4,-0.064,0.064,58.98614,,,4.8534,-0.373339,0.373339,-1.0,0.0,9.72,8.892999999999999,13.347,,0.0,11.06,,,,,,,,,7.612832000000001,-46.184368,2.28920966413878,0.0,0.0,0.2086160228036813,0.0,0.0,5.973150988972617,0.0,0.0,0.018794340203448,0.0,0.0,1.0,10.768502444514846,,,414.37533446425766,10658578726.74228,0.0712948409815537,0.1,2.3,6124.605486545427,0.6927683819658783,1.0,88.96391071164425,0.0,0.0,0.0460287738725394,0.0,0.0,0.0,0.0,0.0,0.0,8488.954893038142,,,1.0,8494.3391442604,6124.605486545427
3898497 b,3898497 b,52828.40025196192,137586.5331094604,1.1120935706768036,0.20113109957125747,0.20826715056125922,0.3523165677899043,16.281226608182017,3.188061732665032,1.5969549457995673,3.478786845973119,33.07211870594387,6.306054226831083,3.214158219564274,6.933533942727295,1.0,3.188061732665032,6.306054226831083,1.0,1.5969549457995673,3.214158219564274,Eclipse,1.0,2.0,3.0,0,0,0,0.64706592713,-0.0750679,0.0750679,4134.0,,,1.006605,,,130.6732326172024,-2.864720810920634,2.864720810920634,4.59584,-0.223391,0.223391,1779.0,0.0,10.849,10.053,13.362,12.6025,0.0,11.862,,,,,,,,,11.4122041748,-9.90600343511,13.598166290658426,0.0,0.0,1.2392029500047894,0.0,0.0,124.18814992455296,0.0,0.0,0.3907542841672446,0.0,0.0,1.0,2.2002441955210017,,,1142.8977764009253,4284117887.750399,0.0286563069414742,0.3,2.3,8604.74687541656,0.7146316598285998,1.0,83.29348591541017,0.0,0.0,0.0161950151348317,0.0,0.0,0.0,0.0,0.0,0.0,8486.050919804256,,,1.0,8487.151041902016,8604.74687541656
12359292 b,12359292 b,2205780.499410406,3738307.3563681603,1006.6443680160454,5.618155673194996,144.99044475951732,7.328840074536772,9774.594663914128,55.815895210171924,984.4066184393873,55.01990328009681,18815.185913631194,107.55788491797055,1869.4569432276917,107.59441911234246,5.618155673194996,55.01990328009681,107.55788491797055,144.99044475951732,984.4066184393873,1869.4569432276917,Transit,6.0,55.0,108.0,0,0,0,0.9767,,,5511.285,-5417.333,5564.0,0.9571434,-0.9219866,0.9725853,40.26357357878437,-15.68918666965851,15.68918666965851,4.46622910137536,,,1761.0,0.0,6.97,6.553999999999999,,,0.0,7.577000000000001,,,,,,,,,0.924186890539,-28.396785081,1.696531101629826,0.0,0.0,0.1546051357938467,0.0,0.0,3.571424178870191,0.0,0.0,0.011237378923189,0.0,0.0,1.0,3.1160765810543354,,,1235.286113628151,6197603534.845989,0.0414555420391036,0.3,2.3,5627.612884291886,0.8121038141392096,1.0,84.99571725610572,0.0,0.0,0.0048458105419143,0.0,0.0,0.0,0.0,0.0,0.0,8485.041398982983,,,1.0,8486.59943727351,5627.612884291886
